player,team,primary_role,macro_role,minutes_played,n_decisions,DQ_index,score,score_sd,value_impact,avg_miss_cost,elite_per90,poor_per90,accuracy_pct,worst_choice_pct
Roland Sallai,Hungary,Left Attacking Midfield,CAM,283,50,100.0,0.6276190476190476,0.26936950223326717,0.002614425405606631,0.011001399443345938,2.2261484098939928,0.9540636042402828,14.000000000000002,2.0
Qazim Laçi,Albania,Center Attacking Midfield,MID,164,31,100.0,0.6816820276497696,0.29731614386191957,0.006740558072079171,0.013579942506135236,5.48780487804878,1.0975609756097562,32.25806451612903,3.225806451612903
Wout Weghorst,Netherlands,Center Forward,FW,158,21,100.0,0.8301020408163265,0.25617380866551076,0.009610386941156533,0.012648746361744307,5.69620253164557,0.569620253164557,47.61904761904761,4.761904761904762
Patrick Wimmer,Austria,Right Wing,WIDE,149,27,100.0,0.7740299823633157,0.2539312476218257,0.007858523254061237,0.006970924978493848,6.644295302013424,0.6040268456375839,40.74074074074074,0.0
Anthony Ralston,Scotland,Right Wing Back,FB,262,44,100.0,0.7344065656565657,0.2695403015556985,0.004953976816486105,0.01055506454508969,4.122137404580153,1.0305343511450382,27.27272727272727,2.272727272727273
Marin Pongracic,Croatia,Left Center Back,CB,188,73,100.0,0.6708088714938031,0.2661986507974664,0.0024830566478544923,0.00572978038846861,5.744680851063829,3.351063829787234,16.43835616438356,1.36986301369863
Răzvan Gabriel Marin,Romania,Right Center Midfield,MID,359,68,98.5,0.6476365546218487,0.3148264078824605,0.0014756845334601507,0.010338690223659764,4.763231197771588,1.5041782729805016,27.941176470588236,7.352941176470589
José Ignacio Fernández Iglesias,Spain,Right Center Back,CB,268,86,98.4,0.6700535252860834,0.27672193424416563,0.003634726002581986,0.0056373088736555044,7.052238805970149,2.014925373134328,24.418604651162788,3.488372093023256
Mario Mitaj,Albania,Left Back,FB,283,92,98.2,0.7133842305037956,0.27127798989443014,0.004129384366281714,0.007074101302364358,7.632508833922262,1.9081272084805656,26.08695652173913,3.260869565217391
Mykhailo Mudryk,Ukraine,Left Midfield,WIDE,176,31,97.3,0.6741167434715822,0.3182848866362169,0.005201398810855185,0.02054512281220673,5.113636363636363,1.534090909090909,32.25806451612903,9.67741935483871
Piotr Zieliński,Poland,Left Center Midfield,MID,256,97,96.9,0.6467844869906726,0.2738025773871091,0.0015562779334034682,0.009520392912128597,5.625,2.109375,16.49484536082474,6.185567010309279
Michael Gregoritsch,Austria,Center Forward,FW,135,23,96.9,0.7318322981366459,0.32758773819409626,0.00543644683633359,0.010149565448014404,6.666666666666666,1.3333333333333335,43.47826086956522,8.695652173913043
Jack Hendry,Scotland,Right Center Back,CB,280,68,96.7,0.6266339869281046,0.29371760550357173,0.0021533601042339414,0.005808631148452012,4.821428571428571,1.2857142857142856,22.058823529411764,4.411764705882353
