competition_id,team_season,source_team_id,source_team_name,player_id,national_team_id,games_played,goals_scored,shirt_number,is_captain,debut,debut_coach_id,debut_game_id,career_state
EURO,2024,3382,Belgium,100986,3382,78,10,15,false,2013-11-14,430,2379650,CURRENT_NATIONAL_PLAYER
EURO,2024,3382,Belgium,1019174,3382,1,0,23,false,2024-11-17,30857,4284244,FORMER_NATIONAL_PLAYER
EURO,2024,3376,Italy,102017,3376,57,5,8,false,2016-03-24,3517,2666165,FORMER_NATIONAL_PLAYER
EURO,2024,3381,Turkiye,1043003,3381,1,0,26,false,2025-06-11,11795,4619073,RECENT_NATIONAL_PLAYER
EURO,2024,3561,Albania,1059579,3561,0,0,7,false,None,None,None,FORMER_NATIONAL_PLAYER
EURO,2024,3383,Austria,106270,3383,28,1,17,false,2015-11-17,531,2637039,FORMER_NATIONAL_PLAYER
EURO,2024,3383,Austria,106872,3383,5,0,23,false,2024-09-06,196,4284300,FORMER_NATIONAL_PLAYER
EURO,2024,3383,Austria,106987,3383,97,25,9,false,2012-06-05,531,2204439,CURRENT_NATIONAL_PLAYER
EURO,2024,3436,Denmark,107775,3436,10,0,22,false,2016-08-31,592,2697332,CURRENT_NATIONAL_PLAYER
EURO,2024,3503,Slovakia,108416,3503,35,7,18,false,2020-09-04,2858,3330642,RECENT_NATIONAL_PLAYER
EURO,2024,3468,Hungary,108669,3468,64,2,5,false,2014-10-14,23118,2429396,FORMER_NATIONAL_PLAYER
EURO,2024,3382,Belgium,108880,3382,20,0,1,false,2020-09-08,4328,3330695,RETIRED_NATIONAL_PLAYER
EURO,2024,3299,England,110864,3299,4,0,13,false,2021-06-06,3358,3524637,FORMER_NATIONAL_PLAYER
EURO,2024,3379,Netherlands,111196,3379,79,4,6,false,2012-08-15,2029,2255570,CURRENT_NATIONAL_PLAYER
EURO,2024,3561,Albania,111433,3561,44,0,5,false,2015-11-16,529,2639664,FORMER_NATIONAL_PLAYER
EURO,2024,3384,Switzerland,111455,3384,144,16,10,true,2011-06-04,92,1113418,CURRENT_NATIONAL_PLAYER
EURO,2024,3300,Portugal,1138758,3300,0,0,13,false,None,None,None,FORMER_NATIONAL_PLAYER
EURO,2024,3381,Turkiye,119031,3381,72,5,22,false,2016-08-31,253,2744759,CURRENT_NATIONAL_PLAYER
EURO,2024,3556,Croatia,119150,3556,28,2,16,false,2019-09-09,2711,3149408,RECENT_NATIONAL_PLAYER
EURO,2024,3262,Germany,119296,3262,48,2,23,false,2015-09-04,495,2429493,FORMER_NATIONAL_PLAYER
EURO,2024,3383,Austria,120205,3383,74,24,11,false,2016-09-05,531,2643555,CURRENT_NATIONAL_PLAYER
EURO,2024,3377,France,120629,3377,5,0,23,false,2018-09-06,1229,2992446,FORMER_NATIONAL_PLAYER
EURO,2024,3380,Scotland,120977,3380,63,3,8,false,2017-11-09,8268,2950828,FORMER_NATIONAL_PLAYER
EURO,2024,3380,Scotland,121385,3380,66,2,5,false,2011-05-25,625,1106199,CURRENT_NATIONAL_PLAYER
EURO,2024,3588,Slovenia,121483,3588,82,0,1,false,2012-09-11,2440,2261088,RECENT_NATIONAL_PLAYER
EURO,2024,3379,Netherlands,12282,3379,108,3,17,false,2013-02-06,2029,2288034,RETIRED_NATIONAL_PLAYER
EURO,2024,3468,Hungary,122840,3468,48,2,7,false,2020-10-08,16090,3284034,RECENT_NATIONAL_PLAYER
EURO,2024,3699,Ukraine,124182,3699,62,3,5,false,2014-10-09,5164,2429348,FORMER_NATIONAL_PLAYER
EURO,2024,3379,Netherlands,124884,3379,1,0,13,false,2020-11-11,8371,3467408,FORMER_NATIONAL_PLAYER
EURO,2024,3379,Netherlands,125714,3379,11,0,23,false,2022-03-26,2029,3776913,CURRENT_NATIONAL_PLAYER
EURO,2024,3377,France,125781,3377,137,44,7,false,2014-03-05,1229,2422926,RETIRED_NATIONAL_PLAYER
EURO,2024,3380,Scotland,12589,3380,83,0,1,false,2004-05-30,272,2950186,RECENT_NATIONAL_PLAYER
EURO,2024,3381,Turkiye,126414,3381,104,22,10,true,2013-09-06,253,2262658,CURRENT_NATIONAL_PLAYER
EURO,2024,3380,Scotland,126600,3380,55,3,23,false,2016-03-24,455,2676670,CURRENT_NATIONAL_PLAYER
EURO,2024,3377,France,126664,3377,56,0,3,false,2014-03-05,1229,2422926,CURRENT_NATIONAL_PLAYER
EURO,2024,3382,Belgium,127202,3382,13,0,13,false,2021-06-03,4328,3544758,CURRENT_NATIONAL_PLAYER
EURO,2024,3383,Austria,127573,3383,29,0,16,false,2021-09-04,2450,3495278,CURRENT_NATIONAL_PLAYER
EURO,2024,3375,Spain,128223,3375,87,37,7,false,2014-11-15,40,2429413,RECENT_NATIONAL_PLAYER
EURO,2024,3445,Czechia,129655,3445,31,0,18,false,2017-09-01,2867,2643541,RECENT_NATIONAL_PLAYER
EURO,2024,3299,England,130164,3299,82,0,1,false,2017-11-10,3358,2958155,CURRENT_NATIONAL_PLAYER
EURO,2024,3380,Scotland,130765,3380,53,5,17,false,2017-03-26,455,2758592,FORMER_NATIONAL_PLAYER
EURO,2024,3299,England,132098,3299,112,78,9,true,2015-03-27,1775,2429432,CURRENT_NATIONAL_PLAYER
EURO,2024,3379,Netherlands,133179,3379,42,1,15,false,2016-11-13,1870,2643471,FORMER_NATIONAL_PLAYER
