competition_id,team_season,source_team_id,source_team_name,player_id,transfer_id,date,season_id,season_label,source_club_id,destination_club_id,market_value_at_transfer,fee,age,transfer_type,transfer_type_label,fee_description,transfer_relative_url,transfer_url
EURO,2024,3382,Belgium,100986,1522829,2016-07-03T00:00:00+02:00,2016,16/17,2282,583,€6.00M,€6.00M,24,STANDARD,,,/thomas-meunier/transfers/spieler/100986/transfer_id/1522829,https://www.transfermarkt.com/thomas-meunier/transfers/spieler/100986/transfer_id/1522829
EURO,2024,3382,Belgium,100986,2931543,2020-07-01T00:00:00+02:00,2020,20/21,583,16,€24.00M,Free Transfer,28,STANDARD,,,/thomas-meunier/transfers/spieler/100986/transfer_id/2931543,https://www.transfermarkt.com/thomas-meunier/transfers/spieler/100986/transfer_id/2931543
EURO,2024,3382,Belgium,100986,306971,2009-07-01T00:00:00+02:00,2009,09/10,15689,1199,€0.00,-,17,STANDARD,,,/thomas-meunier/transfers/spieler/100986/transfer_id/306971,https://www.transfermarkt.com/thomas-meunier/transfers/spieler/100986/transfer_id/306971
EURO,2024,3382,Belgium,100986,4875832,2024-02-07T00:00:00+01:00,2023,23/24,16,449,€2.50M,Free Transfer,32,STANDARD,,,/thomas-meunier/transfers/spieler/100986/transfer_id/4875832,https://www.transfermarkt.com/thomas-meunier/transfers/spieler/100986/transfer_id/4875832
EURO,2024,3382,Belgium,100986,5132999,2024-07-19T00:00:00+02:00,2024,24/25,449,1082,€2.50M,Free Transfer,32,STANDARD,,,/thomas-meunier/transfers/spieler/100986/transfer_id/5132999,https://www.transfermarkt.com/thomas-meunier/transfers/spieler/100986/transfer_id/5132999
EURO,2024,3382,Belgium,100986,530514,2011-07-01T00:00:00+02:00,2011,11/12,1199,2282,€300.00K,€200.00K,19,STANDARD,,,/thomas-meunier/transfers/spieler/100986/transfer_id/530514,https://www.transfermarkt.com/thomas-meunier/transfers/spieler/100986/transfer_id/530514
EURO,2024,3382,Belgium,100986,647240,2006-07-01T00:00:00+02:00,2006,06/07,10459,15689,€0.00,Free Transfer,14,STANDARD,,,/thomas-meunier/transfers/spieler/100986/transfer_id/647240,https://www.transfermarkt.com/thomas-meunier/transfers/spieler/100986/transfer_id/647240
EURO,2024,3382,Belgium,1019174,3864095,2021-07-01T00:00:00+02:00,2021,21/22,66539,54525,€0.00,-,17,STANDARD,,,/matte-smets/transfers/spieler/1019174/transfer_id/3864095,https://www.transfermarkt.com/matte-smets/transfers/spieler/1019174/transfer_id/3864095
EURO,2024,3382,Belgium,1019174,3864096,2020-07-01T00:00:00+02:00,2020,20/21,41635,66539,€0.00,-,16,STANDARD,,,/matte-smets/transfers/spieler/1019174/transfer_id/3864096,https://www.transfermarkt.com/matte-smets/transfers/spieler/1019174/transfer_id/3864096
EURO,2024,3382,Belgium,1019174,3983236,2018-07-01T00:00:00+02:00,2018,18/19,34282,41635,€0.00,Free Transfer,14,STANDARD,,,/matte-smets/transfers/spieler/1019174/transfer_id/3983236,https://www.transfermarkt.com/matte-smets/transfers/spieler/1019174/transfer_id/3983236
EURO,2024,3382,Belgium,1019174,4207898,2023-01-01T00:00:00+01:00,2022,22/23,54525,475,€50.00K,-,18,STANDARD,,,/matte-smets/transfers/spieler/1019174/transfer_id/4207898,https://www.transfermarkt.com/matte-smets/transfers/spieler/1019174/transfer_id/4207898
EURO,2024,3382,Belgium,1019174,5069633,2024-07-01T00:00:00+02:00,2024,24/25,475,1184,€5.00M,€2.25M,20,STANDARD,,,/matte-smets/transfers/spieler/1019174/transfer_id/5069633,https://www.transfermarkt.com/matte-smets/transfers/spieler/1019174/transfer_id/5069633
EURO,2024,3376,Italy,102017,1003227,2014-01-18T00:00:00+01:00,2013,13/14,276,6195,€10.00M,€9.50M,22,STANDARD,,,/jorginho/transfers/spieler/102017/transfer_id/1003227,https://www.transfermarkt.com/jorginho/transfers/spieler/102017/transfer_id/1003227
EURO,2024,3376,Italy,102017,2175941,2018-07-14T00:00:00+02:00,2018,18/19,6195,631,€50.00M,€57.00M,26,STANDARD,,,/jorginho/transfers/spieler/102017/transfer_id/2175941,https://www.transfermarkt.com/jorginho/transfers/spieler/102017/transfer_id/2175941
