team,player_id,player,primary_role,minutes_played,total_touches,passes_attempted,passes_successful,passes_failed,pass_completion_pct,passes_under_pressure,avg_dist_all_passes,avg_dist_successful,avg_dist_failed,through_balls,switches_of_play,crosses,assists,key_passes,carries,shots,shots_on_target,goals,xg_total,dribbles_attempted,dribbles_successful,ball_recoveries,interceptions,tackles_won,aerials_won,clearances,blocks,fouls_committed,fouls_won,dispossessed,miscontrols
England,3943,Declan Rice,Left Defensive Midfield,691,1671,536,488,48,91.0,75,18.25,18.29,17.85,2,17,6,1,3,443,9,3,0,0.392708456,6,5,40,8,3,0,9,11,8,5,7,5
England,3244,John Stones,Right Center Back,686,1624,558,523,35,93.7,48,21.78,20.87,35.4,1,18,0,0,1,459,1,0,0,0.07156796,0,0,17,0,1,0,24,7,5,4,0,1
England,3205,Kyle Walker,Right Back,690,1603,562,497,65,88.4,38,20.26,19.7,24.55,3,15,8,0,1,434,0,0,0,0.0,6,4,22,6,2,0,9,12,5,3,2,3
Germany,5574,Toni Kroos,Left Defensive Midfield,485,1546,545,489,56,89.7,73,20.07,18.57,33.18,2,29,8,0,15,412,3,1,0,0.154933717,1,0,12,6,1,0,3,4,7,7,1,0
England,30714,Jude Bellingham,Center Attacking Midfield,668,1500,374,317,57,84.8,59,17.13,17.4,15.65,1,5,8,1,5,372,6,3,2,0.664153644,20,12,32,5,6,0,5,15,9,19,15,11
Spain,6655,Fabián Ruiz Peña,Left Defensive Midfield,559,1457,436,387,49,88.8,73,18.85,18.8,19.25,4,8,6,2,9,388,17,6,2,1.154684853,11,7,39,3,2,0,3,8,5,4,7,3
Spain,4353,Aymeric Laporte,Left Center Back,533,1417,490,457,33,93.3,34,20.9,20.12,31.75,0,14,2,0,2,395,5,1,0,0.267901845,1,1,8,4,1,0,27,9,2,5,0,1
Spain,6765,Rodrigo Hernández Cascante,Right Defensive Midfield,532,1373,436,411,25,94.3,81,19.64,19.77,17.58,0,13,0,0,6,355,5,1,1,0.19102767569999998,3,0,28,3,2,0,12,12,8,7,2,3
England,34526,Marc Guehi,Left Center Back,579,1340,453,423,30,93.4,47,20.62,20.16,27.11,1,6,0,1,0,363,2,0,0,0.138881305,1,0,20,2,1,0,12,18,6,8,0,1
England,4354,Phil Foden,Left Wing,620,1338,372,309,63,83.1,48,17.13,15.5,25.14,1,13,16,0,6,334,13,5,0,0.763732034,14,8,19,2,1,0,2,8,1,10,7,11
France,6704,Theo Bernard François Hernández,Left Back,587,1249,392,356,36,90.8,28,15.69,14.86,23.85,0,3,16,0,6,336,4,2,0,0.243079744,12,7,24,5,3,0,10,12,2,16,6,6
Switzerland,3500,Granit Xhaka,Left Defensive Midfield,489,1247,405,371,34,91.6,65,18.33,17.84,23.78,5,5,0,0,8,325,4,3,0,0.15239832,2,2,23,3,2,0,11,15,9,5,4,2
Germany,5579,Joshua Kimmich,Right Back,486,1237,411,367,44,89.3,41,17.56,16.55,25.97,1,3,14,2,13,340,7,2,0,0.3097767004,1,0,20,5,2,0,4,10,3,5,2,3
Netherlands,7787,Stefan de Vrij,Right Center Back,553,1233,418,386,32,92.3,41,20.62,20.21,25.58,0,9,1,0,0,322,4,1,1,0.275397195,1,0,14,11,3,0,18,9,6,3,0,0
Portugal,20016,Kléper Laveran Lima Ferreira,Left Center Back,397,1227,403,377,26,93.5,26,21.1,20.39,31.3,0,13,0,0,1,339,1,0,0,0.050621446,2,1,23,6,3,0,25,9,3,4,1,3
Germany,3167,Antonio Rüdiger,Right Center Back,488,1227,409,373,36,91.2,36,20.59,19.14,35.72,3,3,4,0,4,342,4,1,0,0.163332276,0,0,25,4,1,0,17,11,5,4,1,1
France,10481,Aurélien Djani Tchouaméni,Center Defensive Midfield,476,1202,381,354,27,92.9,36,20.99,20.86,22.75,2,21,2,0,5,328,12,2,0,0.40490334499999997,0,0,10,5,1,0,8,5,8,6,2,0
Portugal,5206,Rúben Santos Gato Alves Dias,Right Center Back,422,1188,406,379,27,93.3,27,19.17,18.58,27.48,0,2,2,0,1,337,2,0,0,0.080547256,0,0,7,2,1,0,15,8,2,2,1,1
Portugal,41092,Nuno Mendes,Left Back,421,1184,365,324,41,88.8,34,18.21,17.2,26.16,0,9,11,0,3,317,3,2,0,0.184688972,17,7,19,7,1,0,11,12,3,7,8,7
Spain,17620,Marc Cucurella Saseta,Left Back,555,1149,367,335,32,91.3,53,16.71,16.24,21.58,0,3,8,1,5,276,1,1,0,0.015615603,3,0,16,11,2,0,9,21,11,14,0,1
France,4445,Jules Koundé,Right Back,583,1146,399,335,64,84.0,37,17.42,16.61,21.67,2,4,24,0,11,282,1,0,0,0.07075118,4,2,19,6,4,0,17,15,5,3,7,3
France,3961,N'Golo Kanté,Right Center Midfield,519,1144,323,291,32,90.1,55,17.02,17.18,15.62,0,3,0,0,10,281,5,2,0,0.240182654,6,3,31,7,2,0,5,12,8,2,5,5
France,8519,Dayotchanculle Upamecano,Right Center Back,585,1100,362,334,28,92.3,39,22.4,21.52,32.82,0,17,0,0,3,294,3,0,0,0.227569786,1,0,15,9,1,0,22,8,4,3,0,3
Netherlands,3669,Virgil van Dijk,Left Center Back,553,1087,384,350,34,91.1,29,21.5,20.16,35.28,0,7,0,0,3,273,5,2,0,0.34669679,0,0,9,4,1,0,32,5,13,4,0,2
France,17592,William Saliba,Left Center Back,583,1077,365,349,16,95.6,29,19.44,19.07,27.45,0,5,1,0,1,271,2,0,0,0.114125953,2,2,16,6,2,0,24,7,9,2,0,1
England,22084,Bukayo Saka,Right Wing,626,1066,270,223,47,82.6,62,16.92,16.17,20.46,0,7,22,0,8,278,8,1,1,0.517000741,19,11,28,0,3,0,7,12,10,13,10,4
Spain,22128,Robin Aime Robert Le Normand,Right Center Back,451,1045,351,325,26,92.6,42,21.39,20.86,27.94,1,3,0,0,1,294,3,0,0,0.295916775,0,0,12,1,2,0,9,7,8,3,0,0
Portugal,34639,Vitor Machado Ferreira,Right Defensive Midfield,353,1037,326,293,33,89.9,47,19.0,18.44,23.98,1,14,4,0,4,297,8,3,0,0.6410417230000001,3,2,32,1,1,0,0,7,0,12,2,1
England,3308,Kieran Trippier,Left Back,498,1014,353,313,40,88.7,36,18.14,17.09,26.38,1,10,4,0,9,257,1,0,0,0.08902558,2,1,23,2,2,0,6,8,1,4,1,1
Netherlands,15503,Jerdy Schouten,Right Defensive Midfield,515,1010,328,303,25,92.4,34,18.31,18.3,18.43,0,2,2,0,3,251,1,0,0,0.07204104,4,4,27,5,2,0,5,5,6,2,1,4
Italy,11514,Giovanni Di Lorenzo,Right Back,369,990,321,283,38,88.2,19,17.09,16.12,24.31,0,0,2,0,0,253,2,0,0,0.19114565,0,0,8,5,3,0,6,7,4,6,1,4
Spain,5721,Daniel Carvajal Ramos,Right Back,475,989,325,292,33,89.8,40,18.34,18.13,20.24,0,4,6,0,5,247,2,2,1,0.348667312,5,1,23,3,1,0,6,15,6,3,5,4
Denmark,3570,Pierre-Emile Højbjerg,Left Defensive Midfield,362,981,298,265,33,88.9,37,18.29,17.62,23.68,0,11,4,0,3,246,7,4,0,0.22892275,5,2,25,7,3,0,6,5,5,4,7,3
Portugal,5204,Bruno Miguel Borges Fernandes,Center Attacking Midfield,379,977,296,222,74,75.0,40,22.05,20.35,27.17,5,23,13,0,8,233,10,2,1,1.221559324,3,1,13,2,3,0,3,7,5,7,9,5
Italy,7480,Alessandro Bastoni,Right Center Back,373,975,336,310,26,92.3,27,20.75,19.6,34.4,0,6,1,0,1,260,3,2,1,0.45018278,0,0,14,2,1,0,15,8,3,6,0,0
Spain,68574,Nicholas Williams Arthuer,Left Wing,492,974,221,180,41,81.4,32,18.18,16.49,25.6,0,12,22,1,11,240,12,3,2,0.9485603395,32,15,25,1,0,0,0,12,9,3,12,9
Spain,316046,Lamine Yamal Nasraoui Ebana,Right Wing,507,957,205,161,44,78.5,31,16.62,15.73,19.86,1,9,8,4,14,237,18,7,1,1.58723324,27,12,22,3,3,0,2,7,7,6,12,10
Switzerland,5549,Manuel Obafemi Akanji,Center Back,477,929,332,305,27,91.9,38,20.9,20.41,26.45,0,12,0,0,1,251,0,0,0,0.0,0,0,18,5,2,0,22,7,2,2,0,1
