player,team,primary_role,minutes_played,passes_total,passes_analysed,coverage_pct,between_lines_pct,between_lines_n,pressure_resistance_pct,pressure_resistance_n,hull_exit_pct,hull_exit_n,hull_penetration_pct,hull_penetration_n,gravity_hull_pct,gravity_proximity_pct,gravity_composite_pct,gravity_n,between_lines_per90,successful_hull_exits_per90,successful_hull_penetrations_per90,gravity_directional_m,gravity_directional_n
Declan Rice,England,Left Defensive Midfield,691,536,481,89.73880597014924,26.611226611226613,128,84.61538461538461,13,53.90625,128,13.03116147308782,353,2.904906271033941,10.182063682794151,6.543484976914047,474,16.67149059334298,8.986975397973952,5.991316931982634,1.4094117343290864,451
John Stones,England,Right Center Back,686,558,498,89.24731182795699,4.016064257028113,20,0.0,1,50.0,20,12.343096234309623,478,2.529611107680637,-20.09106912399048,-8.780729008154921,470,2.6239067055393583,1.3119533527696792,7.740524781341108,-3.056196056780494,456
Kyle Walker,England,Right Back,690,562,443,78.82562277580071,3.611738148984198,16,50.0,4,37.5,16,13.114754098360656,427,0.0898582703892312,-20.23021843335154,-10.070180081481157,414,2.0869565217391304,0.782608695652174,7.304347826086956,-1.4676489002265753,392
Toni Kroos,Germany,Left Defensive Midfield,485,545,475,87.1559633027523,18.947368421052637,90,75.0,4,61.11111111111112,90,28.83116883116883,385,-1.0077725502570325,-3.949846402348784,-2.478809476302908,447,16.701030927835053,10.206185567010309,20.59793814432989,-1.225728854462774,418
Jude Bellingham,England,Center Attacking Midfield,668,374,331,88.50267379679144,39.57703927492447,131,60.71428571428571,28,61.832061068702295,131,13.5,200,-2.423348463895492,18.366469802308643,7.971560669206577,320,17.649700598802394,10.91317365269461,3.637724550898204,2.312960042690576,287
Fabián Ruiz Peña,Spain,Left Defensive Midfield,559,436,389,89.22018348623854,40.102827763496144,156,66.66666666666666,12,60.89743589743589,156,18.4549356223176,233,2.8738665358684767,11.98912543106128,7.431495983464876,389,25.11627906976744,15.295169946332738,6.923076923076923,1.719515777026703,344
Aymeric Laporte,Spain,Left Center Back,533,490,432,88.16326530612245,4.861111111111112,21,50.0,2,28.57142857142857,21,15.328467153284672,411,3.309828177471996,-26.74909193069523,-11.719631876611617,404,3.5459662288930582,1.0131332082551594,10.637898686679176,-4.191112007721314,390
Rodrigo Hernández Cascante,Spain,Right Defensive Midfield,532,436,397,91.05504587155964,48.614609571788414,193,72.22222222222221,18,66.83937823834198,193,13.725490196078432,204,0.5885603409393334,17.394348783661336,8.991454562300333,394,32.650375939849624,21.82330827067669,4.7368421052631575,1.9356225314489326,358
Marc Guehi,England,Left Center Back,579,453,395,87.19646799116998,6.582278481012659,26,75.0,4,42.30769230769231,26,10.29810298102981,369,2.113476492290771,-24.79274879905209,-11.33963615338066,379,4.041450777202073,1.7098445595854923,5.906735751295337,-3.1957139274901194,354
Phil Foden,England,Left Wing,620,372,336,90.32258064516128,37.20238095238096,125,60.0,10,58.4,125,12.322274881516588,211,-1.8966795405230523,17.583288272783733,7.84330436613034,327,18.14516129032258,10.596774193548386,3.774193548387097,2.9966987576005186,298
