team_in_possession,ball_zone_x,ball_zone_y,mean_norm_hull,mean_dist_k,n_frames
Albania,0,2,68.80285819629742,14.043707563198137,10
Albania,0,3,67.879507821229,26.75297854571967,16
Albania,0,4,70.28577917535445,20.95466326659989,15
Albania,1,0,70.38041915145565,12.675149528034957,12
Albania,1,3,65.05998985187838,15.489316844036393,22
Albania,1,4,67.93880207341992,13.592395728855653,19
Albania,2,0,70.31028250081077,9.746893576671308,18
Albania,2,1,72.1345849986535,10.015286498223118,21
Albania,2,2,64.78918153036606,13.732030776517485,17
Albania,2,3,44.282217788122416,11.123951224881607,12
Albania,2,4,52.29410458508055,10.560706075590398,10
Albania,2,5,60.90353414422975,14.073369429422156,16
Albania,3,0,72.36824420663301,10.86163297374721,16
Albania,3,1,67.04642101509164,11.436588122445038,13
Albania,3,2,65.40673072378789,12.58128955013476,20
Albania,3,3,60.75386670764612,11.763690762322787,12
Albania,3,4,63.29125155404578,11.544950662345428,14
Albania,3,5,69.86264099782642,13.908292067350116,17
Albania,3,6,64.04782892191967,10.730057999025323,14
Albania,4,0,73.92610968361939,10.920406555079108,30
Albania,4,1,67.00851824843441,9.686003194818293,21
Albania,4,2,60.712169678686855,11.568431864636896,26
Albania,4,3,59.77899364640804,12.652972222603267,19
Albania,4,4,57.100518570170564,11.640659789205632,13
Albania,4,5,63.479767816978104,12.921858351795489,28
Albania,4,6,65.3698729486217,11.448900811468222,13
Albania,4,7,76.08947149030394,10.802067497907673,14
Albania,5,0,70.64833540970585,10.466099036883874,24
Albania,5,1,67.68940590732137,9.22348187644537,25
Albania,5,2,57.09268490546545,10.742237011689385,29
Albania,5,3,57.831039215839176,10.95527578638667,12
Albania,5,4,64.22707634632157,10.72720724305593,19
Albania,5,5,62.52350841852794,11.713994089139627,13
Albania,5,6,61.578327973508344,12.283992045920943,14
Albania,5,7,70.22106412584047,10.684675447760783,11
Albania,6,0,64.54197232829539,10.777117204290706,24
Albania,6,1,61.409754608342006,9.584289453084592,20
Albania,6,2,54.506679318862524,11.92763612854673,18
Albania,6,3,55.27896125959938,8.89793212413037,13
Albania,6,4,50.19976106569958,10.870383938755316,11
Albania,6,5,56.158585206089015,9.728338214290284,12
Albania,6,7,69.19163605360347,9.808335445382298,17
Albania,7,0,60.03708838854252,10.319232356714883,19
Albania,7,1,57.00555906743758,9.499452585042361,14
Albania,7,2,54.12031198810987,6.978597450711712,11
Albania,7,6,62.94762637802298,10.919148247047652,11
Albania,7,7,59.82274398217387,10.099736120247929,14
Albania,8,0,59.36574757853735,10.13302855508591,13
Albania,9,0,50.78984006271876,10.073115842589157,16
Austria,0,3,85.56818388939952,19.750988544375865,14
Austria,0,4,116.68934878575722,19.50597406311332,10
Austria,1,3,64.18243192590784,18.700056982131674,12
Austria,1,4,72.99411594851925,16.9729965437899,27
Austria,1,5,71.99281390706024,14.286866398771167,18
Austria,2,1,65.67906034289138,13.606806785817229,14
Austria,2,2,65.05041589704474,14.895485241446078,15
Austria,2,3,71.47869264221653,15.504034655549162,15
Austria,2,4,78.47118013010385,13.71587648799045,26
Austria,2,5,71.36644616518589,12.478022361212249,21
Austria,2,6,87.61784608845785,15.853405600416066,11
Austria,2,7,95.03054027459333,13.511983677692823,11
Austria,3,0,77.29308643251379,15.419710181963994,12
Austria,3,1,64.17515451524895,14.02106094516927,17
Austria,3,2,62.36127577064423,11.871818280793736,21
Austria,3,3,65.87887410406869,12.821865848950424,19
Austria,3,4,66.6718237016975,14.004735917649226,15
Austria,3,5,56.60059463470489,12.872592828270976,16
Austria,3,6,74.52667296255773,12.581308456765916,17
Austria,3,7,80.73845440912247,11.787761741714064,17
Austria,4,0,76.7471538476419,12.234009490597128,20
Austria,4,1,64.15649014840766,13.13702518008318,14
Austria,4,2,62.84875919903869,12.294507389895218,35
Austria,4,3,59.688211399733035,12.510228175104036,36
Austria,4,4,54.58575456324953,12.161367365940707,20
Austria,4,5,71.7821315347411,10.74419720253907,29
Austria,4,6,82.31889655158542,11.980324007770916,17
Austria,4,7,70.77782180037602,11.617916012438029,23
Austria,5,0,76.36925073504284,11.598596765708008,22
Austria,5,1,69.42345446552562,13.08655878325284,16
Austria,5,2,57.670783811050335,12.677973538546675,33
Austria,5,3,56.13836577754108,9.7121164743817,33
Austria,5,4,58.389713876677014,10.482299544682272,31
Austria,5,5,55.88916429435544,11.009411843313154,25
Austria,5,6,77.46054762572479,10.829973287657884,19
Austria,5,7,67.87736426366136,10.156710431467335,20
Austria,6,0,61.3977902910314,10.308716879796238,20
Austria,6,1,61.00241315250997,9.728779213383413,34
Austria,6,2,56.8564474544306,9.40826128602343,27
Austria,6,3,51.72676242008541,10.009011775562374,32
Austria,6,4,47.14716408354258,9.567529231851212,35
Austria,6,5,55.160214251750666,10.580260154573537,28
Austria,6,6,56.615252259777634,10.364916960321331,16
Austria,6,7,62.425717547673,10.645689665386067,23
Austria,7,0,65.90635293655313,11.457316325631464,30
Austria,7,1,56.07585256880762,9.424817028531399,27
Austria,7,2,47.21046701889005,9.656282693605485,27
Austria,7,3,49.230374138327335,8.071205155332002,32
Austria,7,4,46.70308995714803,9.15615134999916,36
Austria,7,5,49.547347261279235,11.726033543020138,29
Austria,7,6,50.25743183243921,10.927440818943714,29
Austria,7,7,60.67846307447077,11.615820441039935,31
Austria,8,0,62.578593672278075,11.130743294306848,25
Austria,8,1,45.916226331542006,9.033512274913907,32
Austria,8,2,42.74482889455086,7.812343551904997,35
Austria,8,3,39.01898292409197,6.260738492245824,23
Austria,8,4,37.52253646849012,7.2004250632153814,24
Austria,8,5,41.167164767132256,8.589678784254474,25
Austria,8,6,52.29089564515296,9.083527470828367,34
Austria,8,7,52.689308662734774,12.119823640840933,35
Austria,9,0,46.72271917400699,11.897168423313927,19
Austria,9,1,39.16403510083079,8.421773466000312,24
Austria,9,2,34.25321852997007,6.986189375961186,12
Austria,9,4,30.434014043671667,4.730439729885615,16
Austria,9,5,33.01236271419114,5.576720293004116,18
Austria,9,6,44.0314857057227,8.670485100940075,24
Austria,9,7,46.50985301490083,10.412109868029665,27
Austria,10,0,36.87772466857442,12.884565057326308,14
Austria,10,1,30.659582233806717,7.6703119240680175,16
Austria,10,2,27.12533738758383,7.9983482729423665,11
Austria,10,7,36.61708231506913,13.26059453022428,15
Austria,11,0,20.055132889307075,24.58374192098017,11
Austria,11,1,30.222016722305497,9.859736289956656,11
Austria,11,7,16.10095656367958,24.271810858349074,10
Belgium,0,3,57.19515325290592,17.966895484141496,21
Belgium,0,4,52.766323888276474,21.87667145537005,27
Belgium,1,0,64.15906300538414,17.084250398588065,11
Belgium,1,2,53.8334624273926,15.098091997672933,18
Belgium,1,3,48.997125813591765,18.735011152558755,24
Belgium,1,4,56.59933995397782,18.711841280888404,19
Belgium,1,5,64.02513977503192,16.354099186374814,12
