player,team,urs_sum,off_ball_potential_sum,off_ball_captured_sum,xepv_mean,n_confident_candidates,n_received,receiver_conf_rate,primary_role,minutes_played,macro_role,urs_per90,off_ball_potential_per90,n_confident_per90,capitalization_rate,latency_rate,urs_pct_within_role,potential_pct_within_role,xepv_mean_pct_within_role,latency_pct_within_role
Pedro González López,Spain,5.722699490983334,6.786219434296543,1.0635199433132076,0.036485050722024424,186,36,0.1935483870967742,Center Attacking Midfield,185,CAM,2.7840159685864867,3.301404049117237,90.48648648648648,0.1567175882846252,0.8432824117153748,100.0,100.0,95.0,100.0
Jorge Luiz Frello Filho,Italy,3.4401739535267444,5.62311859624918,2.1829446427224353,0.01597476873934426,352,125,0.35511363636363635,Center Defensive Midfield,219,MID,1.4137701178877031,2.3108706559928134,144.65753424657532,0.38820889251358437,0.6117911074864156,100.0,100.0,76.9,92.3
Morten Hjulmand,Denmark,2.9259243252369,5.209583457307344,2.283659132070445,0.015597555261399235,334,130,0.38922155688622756,Right Defensive Midfield,244,MID,1.0792343822595123,1.9215676686789385,123.19672131147541,0.43835733716238234,0.5616426628376177,98.5,98.5,73.8,73.8
Luka Modrić,Croatia,2.441527280560414,4.38240352716811,1.9408762466076965,0.01692047693887301,259,105,0.40540540540540543,Right Center Midfield,240,MID,0.9155727302101552,1.643401322688041,97.125,0.44287940044213187,0.5571205995578681,96.9,95.4,92.3,67.7
Joshua Kimmich,Germany,4.568279908287559,7.567446289780012,2.999166381492452,0.01801772926138098,420,159,0.37857142857142856,Right Back,486,FB,0.8459777607939925,1.4013789425518541,77.77777777777777,0.39632476619528656,0.6036752338047134,100.0,100.0,89.5,68.4
Florian Wirtz,Germany,2.6809302200765313,4.343772398546248,1.6628421784697165,0.01930565510464999,225,78,0.3466666666666667,Left Wing,287,WIDE,0.8407098251111074,1.3621585918786143,70.55749128919861,0.38281061388626814,0.6171893861137319,100.0,97.3,67.6,70.3
Toni Kroos,Germany,4.441497800986297,8.864391479605644,4.422893678619348,0.013700759628447672,647,291,0.44976816074188564,Left Defensive Midfield,485,MID,0.8241954682242614,1.6449386250814595,120.06185567010309,0.4989506260858542,0.5010493739141457,95.4,96.9,43.1,27.7
Robert Andrich,Germany,2.9270965068676515,4.72173936762854,1.7946428607608889,0.014528428823472432,325,108,0.3323076923076923,Right Defensive Midfield,324,MID,0.8130823630187921,1.3115942687857056,90.27777777777779,0.3800808814363329,0.6199191185636671,93.8,93.8,58.5,96.9
Francisco Fernandes Conceição,Portugal,1.6212591528661051,2.8210922478899323,1.1998330950238272,0.021868932154185523,129,50,0.3875968992248062,Center Attacking Midfield,180,WIDE,0.8106295764330524,1.4105461239449664,64.5,0.4253079976102362,0.5746920023897638,97.3,100.0,86.5,40.5
José Diogo Dalot Teixeira,Portugal,1.3236940183711234,2.1842355835392513,0.8605415651681277,0.021002265226338954,104,41,0.3942307692307692,Right Center Back,152,FB,0.7837661950881653,1.2932973849903462,61.578947368421055,0.3939783655450477,0.6060216344549523,98.2,98.2,100.0,70.2
