match,match_id,n_sampled,backward_n,backward_acc,backward_conf_share,backward_acc_conf,bracket_n,bracket_acc,bracket_conf_share,bracket_acc_conf
Portugal vs Czech Republic,3930166,40,32,0.1875,0.125,0.75,38,0.6842105263157895,0.4473684210526316,0.9411764705882353
Hungary vs Switzerland,3930159,40,33,0.18181818181818182,0.18181818181818182,0.8333333333333334,36,0.6666666666666666,0.4444444444444444,1.0
Serbia vs England,3930163,40,36,0.19444444444444445,0.16666666666666666,1.0,38,0.7894736842105263,0.5,1.0
England vs Slovenia,3930181,40,35,0.2,0.11428571428571428,1.0,37,0.7027027027027027,0.5135135135135135,0.9473684210526315
Croatia vs Italy,3930178,40,38,0.21052631578947367,0.15789473684210525,1.0,38,0.6578947368421053,0.39473684210526316,0.9333333333333333
Spain vs Croatia,3930160,40,35,0.17142857142857143,0.14285714285714285,1.0,38,0.7368421052631579,0.5263157894736842,0.95
Slovenia vs Serbia,3930170,40,32,0.1875,0.15625,1.0,38,0.6578947368421053,0.3684210526315789,1.0
France vs Poland,3938643,40,34,0.2647058823529412,0.20588235294117646,0.8571428571428571,39,0.6666666666666666,0.48717948717948717,0.9473684210526315
Poland vs Austria,3938641,40,36,0.08333333333333333,0.05555555555555555,1.0,38,0.5789473684210527,0.4473684210526316,0.9411764705882353
Georgia vs Czech Republic,3938642,40,34,0.11764705882352941,0.08823529411764706,1.0,38,0.7105263157894737,0.3684210526315789,0.9285714285714286
Turkey vs Georgia,3938639,40,32,0.21875,0.25,0.75,34,0.6176470588235294,0.5588235294117647,0.8421052631578947
Romania vs Ukraine,3938638,40,33,0.24242424242424243,0.21212121212121213,0.8571428571428571,39,0.7435897435897436,0.6923076923076923,0.9629629629629629
Slovakia vs Ukraine,3938640,40,33,0.15151515151515152,0.18181818181818182,0.3333333333333333,39,0.7435897435897436,0.48717948717948717,0.9473684210526315
Poland vs Netherlands,3938637,40,33,0.15151515151515152,0.18181818181818182,0.6666666666666666,38,0.631578947368421,0.5263157894736842,0.85
Georgia vs Portugal,3938644,40,37,0.10810810810810811,0.16216216216216217,0.3333333333333333,40,0.6,0.5,0.95
France vs Belgium,3941019,40,33,0.24242424242424243,0.2727272727272727,0.5555555555555556,40,0.775,0.7,0.8928571428571429
England vs Switzerland,3942227,40,32,0.0625,0.09375,0.3333333333333333,38,0.7368421052631579,0.5526315789473685,0.9523809523809523
Turkey vs Portugal,3930174,40,30,0.2,0.1,1.0,38,0.7894736842105263,0.5263157894736842,1.0
Slovenia vs Denmark,3930162,40,35,0.14285714285714285,0.2,0.5714285714285714,38,0.6842105263157895,0.5789473684210527,0.9545454545454546
Switzerland vs Germany,3930176,40,35,0.11428571428571428,0.14285714285714285,0.6,39,0.717948717948718,0.5641025641025641,1.0
Scotland vs Switzerland,3930169,40,35,0.2571428571428571,0.22857142857142856,0.875,40,0.75,0.6,0.9583333333333334
Netherlands vs England,3942819,40,36,0.2222222222222222,0.16666666666666666,1.0,38,0.7631578947368421,0.6052631578947368,1.0
Spain vs England,3943043,40,32,0.15625,0.125,1.0,37,0.7837837837837838,0.5405405405405406,0.95
Spain vs France,3942752,40,33,0.18181818181818182,0.15151515151515152,0.8,38,0.7631578947368421,0.42105263157894735,1.0
Netherlands vs Turkey,3942382,40,35,0.17142857142857143,0.2,0.42857142857142855,39,0.717948717948718,0.5128205128205128,0.95
Portugal vs France,3942349,40,30,0.2,0.16666666666666666,1.0,39,0.6410256410256411,0.4358974358974359,1.0
Netherlands vs Austria,3930180,40,37,0.08108108108108109,0.10810810810810811,0.5,39,0.6410256410256411,0.41025641025641024,0.875
Denmark vs England,3930171,40,36,0.25,0.2222222222222222,0.875,39,0.6666666666666666,0.5384615384615384,1.0
Spain vs Germany,3942226,40,35,0.14285714285714285,0.17142857142857143,0.6666666666666666,39,0.5897435897435898,0.48717948717948717,0.7894736842105263
Ukraine vs Belgium,3938645,40,36,0.1111111111111111,0.19444444444444445,0.42857142857142855,38,0.4473684210526316,0.4473684210526316,0.7058823529411765
Czech Republic vs Turkey,3930184,40,35,0.17142857142857143,0.2,0.7142857142857143,37,0.5945945945945946,0.4594594594594595,0.8823529411764706
Austria vs Turkey,3941022,40,33,0.15151515151515152,0.15151515151515152,0.8,38,0.6842105263157895,0.5,0.9473684210526315
Romania vs Netherlands,3941021,40,34,0.058823529411764705,0.08823529411764706,0.6666666666666666,38,0.6842105263157895,0.5263157894736842,0.95
Portugal vs Slovenia,3941020,40,28,0.17857142857142858,0.14285714285714285,0.75,38,0.7105263157894737,0.4473684210526316,0.9411764705882353
Spain vs Georgia,3941018,40,37,0.1891891891891892,0.21621621621621623,0.75,40,0.85,0.65,0.9230769230769231
England vs Slovakia,3941017,40,36,0.2222222222222222,0.16666666666666666,0.8333333333333334,38,0.7368421052631579,0.47368421052631576,0.9444444444444444
Denmark vs Serbia,3930182,40,37,0.16216216216216217,0.2702702702702703,0.5,40,0.775,0.525,0.8571428571428571
Albania vs Spain,3930179,40,34,0.17647058823529413,0.058823529411764705,1.0,37,0.6216216216216216,0.4594594594594595,0.8823529411764706
Germany vs Denmark,3940983,40,35,0.22857142857142856,0.17142857142857143,1.0,38,0.7368421052631579,0.5526315789473685,0.9523809523809523
Switzerland vs Italy,3940878,40,37,0.24324324324324326,0.1891891891891892,0.8571428571428571,39,0.6923076923076923,0.5641025641025641,1.0
Scotland vs Hungary,3930177,40,33,0.06060606060606061,0.18181818181818182,0.3333333333333333,38,0.6842105263157895,0.4473684210526316,0.8823529411764706
Netherlands vs France,3930173,40,37,0.1891891891891892,0.21621621621621623,0.625,39,0.5384615384615384,0.46153846153846156,0.9444444444444444
Spain vs Italy,3930172,40,36,0.1111111111111111,0.1111111111111111,0.75,38,0.6842105263157895,0.4473684210526316,0.9411764705882353
Croatia vs Albania,3930167,40,36,0.19444444444444445,0.2222222222222222,0.625,39,0.6666666666666666,0.6666666666666666,0.8846153846153846
Germany vs Hungary,3930168,40,36,0.19444444444444445,0.2222222222222222,0.625,39,0.6923076923076923,0.6410256410256411,0.84
Austria vs France,3930165,40,28,0.17857142857142858,0.25,0.7142857142857143,37,0.8108108108108109,0.5135135135135135,1.0
Belgium vs Slovakia,3930164,40,33,0.18181818181818182,0.15151515151515152,0.6,37,0.5945945945945946,0.4594594594594595,0.9411764705882353
Italy vs Albania,3930161,40,37,0.1891891891891892,0.24324324324324326,0.7777777777777778,37,0.7027027027027027,0.4864864864864865,0.8888888888888888
Slovakia vs Romania,3930183,40,29,0.10344827586206896,0.10344827586206896,1.0,37,0.7567567567567568,0.5135135135135135,0.8947368421052632
Belgium vs Romania,3930175,40,35,0.14285714285714285,0.08571428571428572,1.0,39,0.6410256410256411,0.38461538461538464,1.0
Germany vs Scotland,3930158,40,35,0.22857142857142856,0.22857142857142856,0.875,40,0.725,0.675,0.8888888888888888
