player,team,macro_role,idx__PROGRESSION,idx__DANGEROUSNESS,idx__RECEPTION,idx__GRAVITY,pct__accuracy,pct__worst_choice,pct__elite_per90,pct__poor_per90,potential_pct_within_role,xepv_mean_pct_within_role,latency_pct_within_role,display
Christoph Baumgartner,Austria,CAM,45.0,85.0,85.0,100.0,100.0,25.0,55.00000000000001,65.0,30.0,85.0,25.0,Christoph Baumgartner
Pedro González López,Spain,CAM,97.5,35.0,100.0,62.5,50.0,70.0,95.0,55.00000000000001,100.0,95.0,100.0,Pedri
Fabian Rieder,Switzerland,CAM,20.0,95.0,65.0,80.0,65.0,65.0,30.0,85.0,40.0,90.0,60.0,Fabian Rieder
Kevin De Bruyne,Belgium,CAM,97.5,70.0,45.0,55.00000000000001,75.0,60.0,85.0,35.0,75.0,30.0,35.0,Kevin De Bruyne
Daniel Olmo Carvajal,Spain,CAM,60.0,75.0,80.0,50.0,80.0,75.0,65.0,75.0,55.00000000000001,50.0,10.0,Daniel Carvajal
Roland Sallai,Hungary,CAM,55.00000000000001,90.0,25.0,90.0,30.0,100.0,20.0,100.0,20.0,10.0,90.0,Roland Sallai
Dušan Tadić,Serbia,CAM,90.0,100.0,10.0,32.5,20.0,50.0,45.0,80.0,60.0,35.0,30.0,Dušan Tadić
Georgiy Sudakov,Ukraine,CAM,75.0,40.0,50.0,72.5,15.0,15.0,25.0,20.0,35.0,20.0,50.0,Georgiy Sudakov
Christian Dannemann Eriksen,Denmark,CAM,50.0,55.00000000000001,95.0,25.0,90.0,45.0,100.0,15.0,90.0,60.0,75.0,Christian Eriksen
John McGinn,Scotland,CAM,35.0,50.0,75.0,62.5,35.0,5.0,15.0,42.5,15.0,25.0,55.00000000000001,John McGinn
Antoine Griezmann,France,CAM,85.0,60.0,40.0,10.0,85.0,30.0,90.0,10.0,80.0,75.0,20.0,Antoine Griezmann
Orkun Kökçü,Turkey,CAM,70.0,15.0,60.0,72.5,55.00000000000001,55.00000000000001,75.0,50.0,65.0,55.00000000000001,65.0,Orkun Kökçü
Jude Bellingham,England,CAM,80.0,45.0,35.0,42.5,25.0,80.0,70.0,30.0,85.0,40.0,40.0,Jude Bellingham
Dominik Szoboszlai,Hungary,CAM,65.0,80.0,15.0,20.0,40.0,35.0,35.0,5.0,25.0,15.0,15.0,Dominik Szoboszlai
Jonas Older Wind,Denmark,CAM,40.0,20.0,90.0,42.5,95.0,20.0,80.0,25.0,70.0,45.0,85.0,Jonas Wind
İlkay Gündoğan,Germany,CAM,27.500000000000004,30.0,55.00000000000001,32.5,45.0,95.0,60.0,70.0,95.0,65.0,45.0,İlkay Gündoğan
Scott McTominay,Scotland,CAM,5.0,5.0,70.0,85.0,10.0,40.0,10.0,90.0,5.0,5.0,80.0,Scott McTominay
Dušan Vlahović,Serbia,CAM,15.0,10.0,20.0,95.0,5.0,10.0,5.0,95.0,10.0,100.0,95.0,Dušan Vlahović
Ruben Vargas,Switzerland,CAM,27.500000000000004,65.0,5.0,5.0,60.0,90.0,40.0,42.5,50.0,80.0,70.0,Rubén Vargas
Xavi Simons,Netherlands,CAM,10.0,25.0,30.0,15.0,70.0,85.0,50.0,60.0,45.0,70.0,5.0,Xavi Simons
Ladislav Krejčí,Czech Republic,CB,80.32786885245902,93.44262295081968,98.36065573770492,72.95081967213115,62.295081967213115,85.24590163934425,36.0655737704918,62.295081967213115,39.34426229508197,96.72131147540983,63.934426229508205,Ladislav Krejčí
Illia Zabarnyi,Ukraine,CB,86.0655737704918,80.32786885245902,71.31147540983606,96.72131147540983,16.39344262295082,19.672131147540984,42.62295081967213,19.672131147540984,40.98360655737705,42.62295081967213,88.52459016393442,Ilya Zabarnyi
Alessandro Bastoni,Italy,CB,100.0,81.9672131147541,73.77049180327869,47.540983606557376,44.26229508196721,49.18032786885246,83.60655737704919,9.836065573770492,93.44262295081968,62.295081967213115,47.540983606557376,Alessandro Bastoni
Maximilian Wöber,Austria,CB,83.60655737704919,96.72131147540983,85.24590163934425,35.24590163934426,40.98360655737705,77.8688524590164,50.81967213114754,16.39344262295082,47.540983606557376,91.80327868852459,72.1311475409836,Maximilian Wöber
Mykola Matvienko,Ukraine,CB,90.1639344262295,73.77049180327869,100.0,16.39344262295082,50.81967213114754,37.704918032786885,86.88524590163934,24.59016393442623,75.40983606557377,37.704918032786885,11.475409836065573,Mykola Matvienko
Joachim Andersen,Denmark,CB,98.36065573770492,98.36065573770492,16.39344262295082,63.114754098360656,36.0655737704918,8.19672131147541,70.49180327868852,14.754098360655737,90.1639344262295,77.04918032786885,34.42622950819672,Joachim Andersen
Ricardo Iván Rodríguez Araya,Switzerland,CB,93.44262295081968,83.60655737704919,57.377049180327866,23.770491803278688,54.09836065573771,40.98360655737705,49.18032786885246,45.90163934426229,73.77049180327869,100.0,65.57377049180327,Ricardo Rodríguez
Aymeric Laporte,Spain,CB,91.80327868852459,85.24590163934425,24.59016393442623,94.26229508196722,29.508196721311474,45.90163934426229,77.04918032786885,8.19672131147541,86.88524590163934,90.1639344262295,55.73770491803278,Aymeric Laporte
Abdülkerim Bardakcı,Turkey,CB,59.01639344262295,78.68852459016394,78.68852459016394,59.01639344262295,6.557377049180328,59.01639344262295,8.19672131147541,44.26229508196721,54.09836065573771,57.377049180327866,37.704918032786885,Abdülkerim Bardakcı
Tomáš Holeš,Czech Republic,CB,81.9672131147541,90.1639344262295,34.42622950819672,78.68852459016394,24.59016393442623,18.0327868852459,9.836065573770492,60.65573770491803,36.0655737704918,88.52459016393442,27.86885245901639,Tomas Holes
Riccardo Calafiori,Italy,CB,78.68852459016394,60.65573770491803,92.62295081967213,13.114754098360656,72.1311475409836,88.52459016393442,98.36065573770492,11.475409836065573,95.08196721311475,83.60655737704919,93.44262295081968,Riccardo Calafiori
Kevin Danso,Austria,CB,69.67213114754098,91.80327868852459,26.229508196721312,90.1639344262295,3.278688524590164,26.229508196721312,14.754098360655737,18.0327868852459,49.18032786885246,75.40983606557377,39.34426229508197,Kevin Danso
Willi Orban,Hungary,CB,63.934426229508205,57.377049180327866,95.08196721311475,44.26229508196721,68.85245901639344,27.86885245901639,40.98360655737705,73.77049180327869,22.950819672131146,19.672131147540984,42.62295081967213,Willi Orbán
Fabian Lukas Schär,Switzerland,CB,96.72131147540983,88.52459016393442,39.34426229508197,10.655737704918032,26.229508196721312,55.73770491803278,16.39344262295082,78.68852459016394,34.42622950819672,50.81967213114754,13.114754098360656,Fabian Schär
Antonio Rüdiger,Germany,CB,95.08196721311475,100.0,9.836065573770492,56.557377049180324,57.377049180327866,16.39344262295082,90.1639344262295,6.557377049180328,98.36065573770492,93.44262295081968,70.49180327868852,Antonio Rüdiger
Milos Veljkovic,Serbia,CB,62.295081967213115,70.49180327868852,68.85245901639344,56.557377049180324,55.73770491803278,21.311475409836063,78.68852459016394,27.86885245901639,83.60655737704919,80.32786885245902,16.39344262295082,Milos Veljkovic
Joško Gvardiol,Croatia,CB,67.21311475409836,37.704918032786885,86.88524590163934,69.67213114754098,47.540983606557376,98.36065573770492,54.09836065573771,55.73770491803278,81.9672131147541,98.36065573770492,67.21311475409836,Josko Gvardiol
Milan Škriniar,Slovakia,CB,72.1311475409836,59.01639344262295,55.73770491803278,60.65573770491803,52.459016393442624,86.88524590163934,67.21311475409836,37.704918032786885,62.295081967213115,39.34426229508197,18.0327868852459,Milan Škriniar
Strahinja Pavlović,Serbia,CB,36.0655737704918,95.08196721311475,50.81967213114754,29.508196721311474,85.24590163934425,11.475409836065573,72.1311475409836,50.81967213114754,55.73770491803278,59.01639344262295,14.754098360655737,Strahinja Pavlović
Jannik Vestergaard,Denmark,CB,65.57377049180327,45.90163934426229,81.14754098360656,50.81967213114754,88.52459016393442,57.377049180327866,100.0,57.377049180327866,88.52459016393442,60.65573770491803,73.77049180327869,Jannik Vestergaard
Samet Akaydin,Turkey,CB,54.09836065573771,72.1311475409836,59.01639344262295,31.967213114754102,22.950819672131146,47.540983606557376,22.950819672131146,39.34426229508197,52.459016393442624,45.90163934426229,90.1639344262295,Samet Akaydin
Jonathan Tah,Germany,CB,77.04918032786885,55.73770491803278,42.62295081967213,66.39344262295081,42.62295081967213,31.147540983606557,93.44262295081968,4.918032786885246,100.0,95.08196721311475,50.81967213114754,Jonathan Tah
Jakub Piotr Kiwior,Poland,CB,75.40983606557377,47.540983606557376,77.04918032786885,10.655737704918032,91.80327868852459,83.60655737704919,73.77049180327869,96.72131147540983,59.01639344262295,78.68852459016394,36.0655737704918,Jakub Kiwior
Jack Hendry,Scotland,CB,69.67213114754098,67.21311475409836,19.672131147540984,94.26229508196722,95.08196721311475,73.77049180327869,63.934426229508205,100.0,26.229508196721312,14.754098360655737,31.147540983606557,Jack Hendry
Márton Dárdai,Hungary,CB,60.65573770491803,65.57377049180327,49.18032786885246,41.80327868852459,93.44262295081968,9.836065573770492,59.01639344262295,47.540983606557376,19.672131147540984,36.0655737704918,6.557377049180328,Márton Dárdai
Manuel Obafemi Akanji,Switzerland,CB,86.0655737704918,21.311475409836063,75.40983606557377,45.90163934426229,39.34426229508197,60.65573770491803,60.65573770491803,42.62295081967213,44.26229508196721,27.86885245901639,19.672131147540984,Manuel Akanji
José Ignacio Fernández Iglesias,Spain,CB,33.60655737704918,14.754098360655737,96.72131147540983,86.88524590163934,98.36065573770492,90.1639344262295,95.08196721311475,85.24590163934425,31.147540983606557,22.950819672131146,57.377049180327866,Nacho Fernández
Denis Vavro,Slovakia,CB,88.52459016393442,63.934426229508205,13.114754098360656,69.67213114754098,19.672131147540984,24.59016393442623,21.311475409836063,40.98360655737705,50.81967213114754,72.1311475409836,8.19672131147541,Denis Vavro
Philipp Lienhart,Austria,CB,55.73770491803278,1.639344262295082,90.1639344262295,81.14754098360656,45.90163934426229,95.08196721311475,37.704918032786885,81.9672131147541,32.78688524590164,63.934426229508205,52.459016393442624,Philipp Lienhart
Marc Guehi,England,CB,45.90163934426229,32.78688524590164,65.57377049180327,66.39344262295081,32.78688524590164,91.80327868852459,62.295081967213115,29.508196721311474,78.68852459016394,68.85245901639344,78.68852459016394,Marc Guéhi
Robin Hranáč,Czech Republic,CB,8.19672131147541,8.19672131147541,92.62295081967213,98.36065573770492,13.114754098360656,77.8688524590164,3.278688524590164,91.80327868852459,6.557377049180328,44.26229508196721,62.295081967213115,Robin Hranac
Stefan de Vrij,Netherlands,CB,44.26229508196721,54.09836065573771,44.26229508196721,52.459016393442624,78.68852459016394,70.49180327868852,91.80327868852459,53.278688524590166,67.21311475409836,47.540983606557376,54.09836065573771,Stefan de Vrij
Dayotchanculle Upamecano,France,CB,26.229508196721312,29.508196721311474,63.114754098360656,81.14754098360656,11.475409836065573,54.09836065573771,24.59016393442623,26.229508196721312,57.377049180327866,73.77049180327869,80.32786885245902,Dayot Upamecano
Scott McKenna,Scotland,CB,31.147540983606557,77.04918032786885,3.278688524590164,83.60655737704919,63.934426229508205,32.78688524590164,45.90163934426229,68.85245901639344,70.49180327868852,86.88524590163934,95.08196721311475,Scott McKenna
Grant Campbell Hanley,Scotland,CB,12.295081967213115,68.85245901639344,60.65573770491803,8.19672131147541,75.40983606557377,63.934426229508205,65.57377049180327,72.1311475409836,65.57377049180327,65.57377049180327,32.78688524590164,Grant Hanley
John Stones,England,CB,39.34426229508197,40.98360655737705,37.704918032786885,76.22950819672131,31.147540983606557,80.32786885245902,75.40983606557377,32.78688524590164,85.24590163934425,67.21311475409836,60.65573770491803,John Stones
Jan Bednarek,Poland,CB,16.39344262295082,18.0327868852459,71.31147540983606,90.1639344262295,83.60655737704919,52.459016393442624,31.147540983606557,80.32786885245902,11.475409836065573,4.918032786885246,21.311475409836063,Jan Bednarek
Jaka Bijol,Slovenia,CB,18.0327868852459,75.40983606557377,28.688524590163933,23.770491803278688,73.77049180327869,1.639344262295082,11.475409836065573,65.57377049180327,4.918032786885246,9.836065573770492,4.918032786885246,Jaka Bijol
Merih Demiral,Turkey,CB,22.950819672131146,86.88524590163934,1.639344262295082,38.52459016393443,4.918032786885246,39.34426229508197,1.639344262295082,93.44262295081968,29.508196721311474,29.508196721311474,9.836065573770492,Merih Demiral
Radu Drăgușin,Romania,CB,12.295081967213115,16.39344262295082,81.14754098360656,54.09836065573771,59.01639344262295,14.754098360655737,4.918032786885246,88.52459016393442,8.19672131147541,32.78688524590164,68.85245901639344,Radu Drăgușin
Wout Faes,Belgium,CB,57.377049180327866,52.459016393442624,18.0327868852459,38.52459016393443,60.65573770491803,29.508196721311474,85.24590163934425,31.147540983606557,72.1311475409836,31.147540983606557,81.9672131147541,Wout Faes
Robin Aime Robert Le Normand,Spain,CB,41.80327868852459,50.81967213114754,22.950819672131146,35.24590163934426,14.754098360655737,34.42622950819672,52.459016393442624,13.114754098360656,80.32786885245902,81.9672131147541,86.88524590163934,Robin Le Normand
William Saliba,France,CB,6.557377049180328,19.672131147540984,63.114754098360656,72.95081967213115,27.86885245901639,65.57377049180327,44.26229508196721,49.18032786885246,45.90163934426229,55.73770491803278,91.80327868852459,William Saliba
Josip Šutalo,Croatia,CB,19.672131147540984,9.836065573770492,88.52459016393442,41.80327868852459,21.311475409836063,68.85245901639344,47.540983606557376,22.950819672131146,63.934426229508205,52.459016393442624,44.26229508196721,Josip Sutalo
Rúben Santos Gato Alves Dias,Portugal,CB,41.80327868852459,49.18032786885246,6.557377049180328,76.22950819672131,9.836065573770492,75.40983606557377,57.377049180327866,34.42622950819672,96.72131147540983,85.24590163934425,77.04918032786885,Rúben Dias
Jan Vertonghen,Belgium,CB,33.60655737704918,34.42622950819672,8.19672131147541,100.0,1.639344262295082,3.278688524590164,19.672131147540984,3.278688524590164,60.65573770491803,26.229508196721312,45.90163934426229,Jan Vertonghen
Vanja Drkušić,Slovenia,CB,49.18032786885246,39.34426229508197,54.09836065573771,3.278688524590164,81.9672131147541,4.918032786885246,13.114754098360656,83.60655737704919,1.639344262295082,8.19672131147541,100.0,Vanja Drkusic
Virgil van Dijk,Netherlands,CB,47.540983606557376,44.26229508196721,32.78688524590164,6.557377049180328,65.57377049180327,81.9672131147541,68.85245901639344,53.278688524590166,42.62295081967213,34.42622950819672,83.60655737704919,Virgil van Dijk
Nikola Milenković,Serbia,CB,1.639344262295082,27.86885245901639,45.90163934426229,90.1639344262295,77.04918032786885,22.950819672131146,96.72131147540983,21.311475409836063,68.85245901639344,40.98360655737705,85.24590163934425,Nikola Milenković
Andreas Christensen,Denmark,CB,50.81967213114754,6.557377049180328,36.0655737704918,85.24590163934425,67.21311475409836,62.295081967213115,88.52459016393442,36.0655737704918,91.80327868852459,70.49180327868852,40.98360655737705,Andreas Christensen
Arlind Afrim Ajeti,Albania,CB,3.278688524590164,31.147540983606557,47.540983606557376,63.114754098360656,49.18032786885246,72.1311475409836,18.0327868852459,77.04918032786885,21.311475409836063,21.311475409836063,75.40983606557377,Arlind Ajeti
Attila Fiola,Hungary,CB,27.86885245901639,62.295081967213115,4.918032786885246,31.967213114754102,100.0,6.557377049180328,80.32786885245902,70.49180327868852,18.0327868852459,13.114754098360656,49.18032786885246,Attila Fiola
Lasha Dvali,Georgia,CB,73.77049180327869,24.59016393442623,31.147540983606557,4.918032786885246,70.49180327868852,50.81967213114754,29.508196721311474,75.40983606557377,16.39344262295082,11.475409836065573,98.36065573770492,Lasha Dvali
Solomon Kverkvelia,Georgia,CB,52.459016393442624,26.229508196721312,28.688524590163933,14.754098360655737,86.88524590163934,13.114754098360656,27.86885245901639,86.88524590163934,27.86885245901639,49.18032786885246,3.278688524590164,Solomon Kvirkvelia
Guram Kashia,Georgia,CB,24.59016393442623,13.114754098360656,83.60655737704919,1.639344262295082,90.1639344262295,93.44262295081968,39.34426229508197,98.36065573770492,13.114754098360656,6.557377049180328,24.59016393442623,Guram Kashia
Marin Pongracic,Croatia,CB,29.508196721311474,11.475409836065573,52.459016393442624,21.311475409836063,80.32786885245902,100.0,81.9672131147541,59.01639344262295,37.704918032786885,24.59016393442623,96.72131147540983,Marin Pongracic
Andrei Burcă Andonie,Romania,CB,37.704918032786885,42.62295081967213,14.754098360655737,27.049180327868854,18.0327868852459,36.0655737704918,6.557377049180328,67.21311475409836,9.836065573770492,18.0327868852459,29.508196721311474,Andrei Burcă
Paweł Dawidowicz,Poland,CB,14.754098360655737,22.950819672131146,40.98360655737705,27.049180327868854,37.704918032786885,96.72131147540983,26.229508196721312,90.1639344262295,14.754098360655737,3.278688524590164,22.950819672131146,Paweł Dawidowicz
Kléper Laveran Lima Ferreira,Portugal,CB,21.311475409836063,36.0655737704918,11.475409836065573,49.18032786885246,8.19672131147541,67.21311475409836,55.73770491803278,1.639344262295082,77.04918032786885,54.09836065573771,26.229508196721312,Pepe
Giorgi Gvelesiani,Georgia,CB,4.918032786885246,4.918032786885246,67.21311475409836,18.852459016393443,96.72131147540983,44.26229508196721,34.42622950819672,95.08196721311475,3.278688524590164,1.639344262295082,1.639344262295082,Giorgi Gvelesiani
Berat Djimsiti,Albania,CB,9.836065573770492,3.278688524590164,21.311475409836063,18.852459016393443,34.42622950819672,42.62295081967213,32.78688524590164,63.934426229508205,24.59016393442623,16.39344262295082,59.01639344262295,Berat Djimsiti
Joshua Kimmich,Germany,FB,91.22807017543859,96.49122807017544,84.21052631578947,64.91228070175438,12.280701754385964,36.84210526315789,68.42105263157895,10.526315789473683,100.0,89.47368421052632,68.42105263157895,Joshua Kimmich
Przemysław Frankowski,Poland,FB,85.96491228070175,71.9298245614035,91.22807017543859,100.0,80.7017543859649,49.122807017543856,75.43859649122807,29.82456140350877,17.543859649122805,5.263157894736842,10.526315789473683,Przemyslaw Frankowski
Maximilian Mittelstädt,Germany,FB,95.6140350877193,92.98245614035088,49.122807017543856,87.71929824561403,59.64912280701754,70.17543859649122,98.24561403508771,40.35087719298245,96.49122807017544,85.96491228070175,78.94736842105263,Maximilian Mittelstädt
João Pedro Cavaco Cancelo,Portugal,FB,98.24561403508771,89.47368421052632,89.47368421052632,50.877192982456144,35.08771929824561,78.94736842105263,77.19298245614034,54.385964912280706,73.68421052631578,40.35087719298245,57.89473684210527,João Cancelo
Oleksandr Zinchenko,Ukraine,FB,95.6140350877193,43.859649122807014,96.49122807017544,91.22807017543859,56.14035087719298,94.73684210526315,96.49122807017544,66.66666666666666,57.89473684210527,12.280701754385964,14.035087719298245,Oleksandr Zinchenko
Bendegúz Bolla,Hungary,FB,84.21052631578947,75.43859649122807,98.24561403508771,57.89473684210527,100.0,85.96491228070175,82.45614035087719,96.49122807017544,22.807017543859647,57.89473684210527,92.98245614035088,Bendegúz Bolla
Andrija Živković,Serbia,FB,100.0,87.71929824561403,63.1578947368421,24.561403508771928,91.22807017543859,33.33333333333333,100.0,50.877192982456144,63.1578947368421,70.17543859649122,28.07017543859649,Andrija Zivkovic
Alexander Prass,Austria,FB,87.71929824561403,49.122807017543856,84.21052631578947,82.45614035087719,25.438596491228072,35.08771929824561,19.298245614035086,38.59649122807017,45.614035087719294,61.40350877192983,56.14035087719298,Alexander Prass
Stefan Posch,Austria,FB,92.98245614035088,70.17543859649122,26.31578947368421,85.96491228070175,43.859649122807014,26.31578947368421,36.84210526315789,49.122807017543856,43.859649122807014,75.43859649122807,35.08771929824561,Stefan Posch
Jesús Navas González,Spain,FB,50.0,98.24561403508771,56.14035087719298,68.42105263157895,85.96491228070175,31.57894736842105,61.40350877192983,31.57894736842105,24.561403508771928,47.368421052631575,43.859649122807014,Jesús Navas
David Jurásek,Czech Republic,FB,80.7017543859649,85.96491228070175,21.052631578947366,78.94736842105263,52.63157894736842,65.78947368421053,35.08771929824561,77.19298245614034,36.84210526315789,92.98245614035088,75.43859649122807,David Jurásek
Ivan Perišić,Croatia,FB,77.19298245614034,100.0,35.08771929824561,26.31578947368421,22.807017543859647,38.59649122807017,12.280701754385964,61.40350877192983,64.91228070175438,98.24561403508771,73.68421052631578,Ivan Perišić
David Raum,Germany,FB,78.94736842105263,94.73684210526315,54.385964912280706,7.017543859649122,82.45614035087719,92.98245614035088,94.73684210526315,84.21052631578947,50.877192982456144,38.59649122807017,84.21052631578947,David Raum
Vladimír Coufal,Czech Republic,FB,61.40350877192983,80.7017543859649,84.21052631578947,12.280701754385964,65.78947368421053,65.78947368421053,31.57894736842105,70.17543859649122,38.59649122807017,78.94736842105263,82.45614035087719,Vladimír Coufal
Michel Aebischer,Switzerland,FB,82.45614035087719,15.789473684210526,94.73684210526315,91.22807017543859,40.35087719298245,43.859649122807014,52.63157894736842,24.561403508771928,71.9298245614035,82.45614035087719,12.280701754385964,Michel Aebischer
Joakim Mæhle,Denmark,FB,75.43859649122807,84.21052631578947,38.59649122807017,35.96491228070175,75.43859649122807,29.82456140350877,71.05263157894737,45.614035087719294,56.14035087719298,50.877192982456144,15.789473684210526,Joakim Maehle
Dávid Hancko,Slovakia,FB,52.63157894736842,82.45614035087719,52.63157894736842,56.14035087719298,73.68421052631578,87.71929824561403,42.10526315789473,80.7017543859649,29.82456140350877,22.807017543859647,26.31578947368421,Dávid Hancko
Daniel Carvajal Ramos,Spain,FB,63.1578947368421,45.614035087719294,58.77192982456141,80.7017543859649,29.82456140350877,56.14035087719298,58.77192982456141,35.08771929824561,78.94736842105263,63.1578947368421,38.59649122807017,Daniel Carvajal
Milos Kerkez,Hungary,FB,31.57894736842105,78.94736842105263,77.19298245614034,35.96491228070175,57.89473684210527,14.035087719298245,29.82456140350877,59.64912280701754,3.508771929824561,14.035087719298245,21.052631578947366,Milos Kerkez
Kieran Trippier,England,FB,56.14035087719298,68.42105263157895,42.98245614035088,73.68421052631578,42.10526315789473,96.49122807017544,80.7017543859649,89.47368421052632,92.98245614035088,77.19298245614034,54.385964912280706,Kieran Trippier
Otar Kakabadze,Georgia,FB,73.68421052631578,40.35087719298245,40.35087719298245,98.24561403508771,96.49122807017544,68.42105263157895,66.66666666666666,68.42105263157895,10.526315789473683,1.7543859649122806,1.7543859649122806,Otar Kakabadze
Dan Ndoye,Switzerland,FB,22.807017543859647,28.07017543859649,100.0,94.73684210526315,94.73684210526315,10.526315789473683,43.859649122807014,86.8421052631579,33.33333333333333,96.49122807017544,89.47368421052632,Dan Ndoye
Theo Bernard François Hernández,France,FB,43.859649122807014,63.1578947368421,45.614035087719294,71.9298245614035,61.40350877192983,80.7017543859649,92.98245614035088,56.14035087719298,85.96491228070175,84.21052631578947,50.877192982456144,Theo Hernández
Anthony Ralston,Scotland,FB,68.42105263157895,61.40350877192983,78.94736842105263,5.263157894736842,87.71929824561403,91.22807017543859,38.59649122807017,92.98245614035088,7.017543859649122,8.771929824561402,3.508771929824561,Anthony Ralston
Jules Koundé,France,FB,59.64912280701754,77.19298245614034,47.368421052631575,10.526315789473683,63.1578947368421,5.263157894736842,85.96491228070175,12.280701754385964,80.7017543859649,68.42105263157895,80.7017543859649,Jules Koundé
Philipp Mwene,Austria,FB,66.66666666666666,36.84210526315789,58.77192982456141,66.66666666666666,3.508771929824561,7.017543859649122,10.526315789473683,7.017543859649122,87.71929824561403,94.73684210526315,49.122807017543856,Phillipp Mwene
Nicola Zalewski,Poland,FB,50.0,59.64912280701754,50.877192982456144,54.385964912280706,15.789473684210526,46.49122807017544,14.035087719298245,36.84210526315789,26.31578947368421,66.66666666666666,45.614035087719294,Nicola Zalewski
Alexander Hartmann Bah,Denmark,FB,89.47368421052632,31.57894736842105,61.40350877192983,28.07017543859649,71.9298245614035,8.771929824561402,78.94736842105263,22.807017543859647,75.43859649122807,45.614035087719294,17.543859649122805,Alexander Bah
Victor Bernth Kristansen,Denmark,FB,36.84210526315789,66.66666666666666,14.035087719298245,84.21052631578947,17.543859649122805,3.508771929824561,33.33333333333333,15.789473684210526,66.66666666666666,91.22807017543859,42.10526315789473,Victor Kristiansen
