source_player,source_team,macro_role,neighbour_player,neighbour_team,similarity,rank
Christoph Baumgartner,Austria,CAM,Fabian Rieder,Switzerland,75.27423132916519,1
Christoph Baumgartner,Austria,CAM,Daniel Olmo Carvajal,Spain,72.9899008786444,2
Christoph Baumgartner,Austria,CAM,Orkun Kökçü,Turkey,64.09450535844763,3
Christoph Baumgartner,Austria,CAM,John McGinn,Scotland,63.96024921890224,4
Christoph Baumgartner,Austria,CAM,Kevin De Bruyne,Belgium,62.575834253544386,5
Christoph Baumgartner,Austria,CAM,Jonas Older Wind,Denmark,61.087218739152746,6
Christoph Baumgartner,Austria,CAM,Christian Dannemann Eriksen,Denmark,59.101011348356394,7
Christoph Baumgartner,Austria,CAM,Antoine Griezmann,France,57.923230334844554,8
Christoph Baumgartner,Austria,CAM,Georgiy Sudakov,Ukraine,57.326557119530094,9
Christoph Baumgartner,Austria,CAM,Xavi Simons,Netherlands,56.8564763103008,10
Christoph Baumgartner,Austria,CAM,İlkay Gündoğan,Germany,55.49514837479157,11
Christoph Baumgartner,Austria,CAM,Dušan Tadić,Serbia,54.06897463686347,12
Christoph Baumgartner,Austria,CAM,Pedro González López,Spain,53.54621064482957,13
Christoph Baumgartner,Austria,CAM,Jude Bellingham,England,53.283981723220855,14
Christoph Baumgartner,Austria,CAM,Dominik Szoboszlai,Hungary,52.8541913556754,15
Christoph Baumgartner,Austria,CAM,Ruben Vargas,Switzerland,52.19594920169137,16
Christoph Baumgartner,Austria,CAM,Roland Sallai,Hungary,50.68653143594357,17
Christoph Baumgartner,Austria,CAM,Dušan Vlahović,Serbia,48.69875067975262,18
Christoph Baumgartner,Austria,CAM,Scott McTominay,Scotland,48.23567391972099,19
Pedro González López,Spain,CAM,Orkun Kökçü,Turkey,73.7472945117166,1
Pedro González López,Spain,CAM,Christian Dannemann Eriksen,Denmark,70.01894537606064,2
Pedro González López,Spain,CAM,Jonas Older Wind,Denmark,65.2198463069944,3
Pedro González López,Spain,CAM,Jude Bellingham,England,64.50832363906869,4
Pedro González López,Spain,CAM,İlkay Gündoğan,Germany,64.45233673451428,5
Pedro González López,Spain,CAM,Kevin De Bruyne,Belgium,63.56044856078894,6
Pedro González López,Spain,CAM,Daniel Olmo Carvajal,Spain,59.61829847341969,7
Pedro González López,Spain,CAM,Antoine Griezmann,France,58.2077649665526,8
Pedro González López,Spain,CAM,Fabian Rieder,Switzerland,55.54624466216196,9
Pedro González López,Spain,CAM,Christoph Baumgartner,Austria,53.54621064482957,10
Pedro González López,Spain,CAM,Ruben Vargas,Switzerland,51.91153984582164,11
Pedro González López,Spain,CAM,Georgiy Sudakov,Ukraine,51.51734143203179,12
Pedro González López,Spain,CAM,Dušan Tadić,Serbia,49.722361739129894,13
Pedro González López,Spain,CAM,John McGinn,Scotland,47.85291780148978,14
Pedro González López,Spain,CAM,Xavi Simons,Netherlands,47.548723908408455,15
Pedro González López,Spain,CAM,Roland Sallai,Hungary,44.496109882443214,16
Pedro González López,Spain,CAM,Dušan Vlahović,Serbia,40.94494094491142,17
Pedro González López,Spain,CAM,Dominik Szoboszlai,Hungary,40.61872042776138,18
Pedro González López,Spain,CAM,Scott McTominay,Scotland,40.19919428940474,19
