player,team,urs_sum,off_ball_potential_sum,off_ball_captured_sum,xepv_mean,n_confident_candidates,n_received,receiver_conf_rate,primary_role,minutes_played,macro_role,urs_per90,off_ball_potential_per90,n_confident_per90,capitalization_rate,latency_rate,urs_pct_within_role,potential_pct_within_role,xepv_mean_pct_within_role,latency_pct_within_role
Pedro González López,Spain,6.221833646479242,7.359448382622566,1.1376147361433244,0.03643291278526023,202,42,0.2079207920792079,Center Attacking Midfield,185,MID,3.0268379901790907,3.5802721861407076,98.27027027027026,0.15457880495901125,0.8454211950409888,100.0,100.0,100.0,100.0
Jorge Luiz Frello Filho,Italy,3.455500950751899,5.790665632585018,2.3351646818331195,0.015778380470258903,367,138,0.3760217983651226,Center Defensive Midfield,219,MID,1.4200688838706432,2.3797256024321993,150.82191780821918,0.40326360214838997,0.59673639785161,99.30555555555556,99.30555555555556,75.69444444444444,84.72222222222221
Morten Hjulmand,Denmark,3.1349302653957674,5.651093597569618,2.516163332173851,0.0156539988852344,361,144,0.3988919667590028,Right Defensive Midfield,244,MID,1.1563267372361437,2.084419769595351,133.15573770491804,0.44525246109106814,0.5547475389089318,98.61111111111111,98.61111111111111,74.30555555555556,59.72222222222222
Luka Modrić,Croatia,2.5998081780099422,4.683007810776223,2.083199632766281,0.016967419604261676,276,113,0.40942028985507245,Right Center Midfield,240,MID,0.9749280667537283,1.7561279290410836,103.49999999999999,0.4448422289564758,0.5551577710435243,97.91666666666666,97.22222222222221,83.33333333333334,60.416666666666664
Francisco Fernandes Conceição,Portugal,1.7404822797232542,2.98046285784537,1.2399805781221156,0.02144217883341993,139,53,0.381294964028777,Center Attacking Midfield,180,MID,0.8702411398616271,1.490231428922685,69.5,0.4160362457992581,0.5839637542007419,97.22222222222221,96.52777777777779,97.91666666666666,78.47222222222221
Toni Kroos,Germany,4.647347627333224,9.486775738712725,4.8394281113795,0.013689431080393543,693,319,0.4603174603174603,Left Defensive Midfield,485,MID,0.8623944050721447,1.7604326113075157,128.5979381443299,0.5101235914781063,0.48987640852189374,96.52777777777779,97.91666666666666,56.94444444444444,18.055555555555554
Florian Wirtz,Germany,2.7311175460547235,4.470467638550352,1.7393500924956284,0.01886273265211119,237,85,0.35864978902953587,Left Wing,287,WIDE,0.8564480109579272,1.4018888065140478,74.3205574912892,0.38907564781291004,0.61092435218709,100.0,100.0,65.51724137931035,68.96551724137932
Joshua Kimmich,Germany,4.6034387685827,7.73555768271481,3.1321189141321097,0.017620860325090682,439,174,0.39635535307517084,Right Back,486,FB,0.8524886608486482,1.432510681984224,81.2962962962963,0.40489891519144955,0.5951010848085505,100.0,100.0,92.85714285714286,64.28571428571429
Robert Andrich,Germany,2.982760918166675,4.894331471712174,1.9115705535454997,0.01406417089572464,348,117,0.33620689655172414,Right Defensive Midfield,324,MID,0.828544699490743,1.3595365199200484,96.66666666666667,0.3905682654707444,0.6094317345292556,95.83333333333334,95.13888888888889,61.111111111111114,91.66666666666666
José Diogo Dalot Teixeira,Portugal,1.3575209030845732,2.2367377885071456,0.8792168854225723,0.020150790887451763,111,44,0.3963963963963964,Right Center Back,152,MID,0.8037952715632342,1.324384216879231,65.72368421052632,0.3930799979953768,0.6069200020046233,95.13888888888889,91.66666666666666,95.13888888888889,90.27777777777779
Pierre-Emile Højbjerg,Denmark,3.1591652096794762,5.408216332000644,2.2490511223211684,0.01372643739086458,394,147,0.3730964467005076,Left Defensive Midfield,362,MID,0.7854278145611957,1.3445841709393866,97.95580110497238,0.4158582024564066,0.5841417975435934,94.44444444444444,93.75,58.333333333333336,79.16666666666666
Maximilian Mittelstädt,Germany,2.6943456413191766,4.48980485903407,1.7954592177148934,0.017006836587250267,264,93,0.3522727272727273,Left Back,311,FB,0.7797141727290221,1.2993004415211136,76.39871382636656,0.399896938527784,0.600103061472216,98.21428571428571,98.21428571428571,87.5,71.42857142857143
Jonathan Tah,Germany,2.746330661926634,4.90381424075959,2.157483578832956,0.013217828142209136,371,150,0.40431266846361186,Left Center Back,324,MID,0.7628696283129539,1.3621706224332193,103.05555555555556,0.43996029884255294,0.5600397011574471,93.75,95.83333333333334,51.388888888888886,65.97222222222221
Rodrigo Hernández Cascante,Spain,4.414199813001168,7.88022985695659,3.4660300439554224,0.014327690649011982,550,218,0.39636363636363636,Right Defensive Midfield,532,MID,0.7467631262595961,1.3331215923422803,93.04511278195488,0.43983869847345186,0.5601613015265481,93.05555555555556,92.36111111111111,63.888888888888886,66.66666666666666
Fabián Ruiz Peña,Spain,4.476116946598474,8.442872798773504,3.9667558521750297,0.016393927764608743,515,225,0.4368932038834951,Left Defensive Midfield,559,MID,0.720662835767196,1.359317624131691,82.91592128801432,0.4698348472988105,0.5301651527011895,92.36111111111111,94.44444444444444,78.47222222222221,42.36111111111111
Nicolò Barella,Italy,2.705837586555668,4.752044639537216,2.046207052981548,0.014356630330928145,331,130,0.39274924471299094,Left Center Midfield,345,MID,0.7058706747536524,1.2396638190097085,86.34782608695652,0.43059508236875915,0.5694049176312408,91.66666666666666,87.5,64.58333333333334,72.22222222222221
Declan Rice,England,5.3281372848460915,9.89974362761419,4.571606342768099,0.014954295509991224,662,273,0.4123867069486405,Left Defensive Midfield,691,MID,0.6939686767527471,1.289402209095915,86.22286541244574,0.461790377077658,0.538209622922342,90.97222222222221,90.27777777777779,70.13888888888889,45.83333333333333
Mateo Kovačić,Croatia,1.7656113111127092,3.3608537494435597,1.5952424383308506,0.016474773281586075,204,91,0.44607843137254904,Left Center Midfield,229,MID,0.6939083755464797,1.3208595521830584,80.17467248908297,0.4746539294055765,0.5253460705944235,90.27777777777779,90.97222222222221,79.86111111111111,39.58333333333333
Adrien Rabiot,France,2.848991270385624,4.67689491087096,1.827903640485336,0.017257914800261846,271,100,0.36900369003690037,Left Center Midfield,373,MID,0.6874241671171747,1.1284733028911162,65.3887399463807,0.3908370137281816,0.6091629862718184,89.58333333333334,83.33333333333334,84.72222222222221,90.97222222222221
Giovanni Di Lorenzo,Italy,2.8168447165042885,5.148476021498996,2.331631304994708,0.01372926939066399,375,161,0.42933333333333334,Right Back,369,FB,0.687035296708363,1.2557258589021942,91.46341463414635,0.4528779575272928,0.5471220424727072,96.42857142857143,96.42857142857143,41.07142857142857,37.5
İlkay Gündoğan,Germany,2.911046370024067,5.107941443389976,2.196895073365909,0.019275250729773492,265,104,0.39245283018867927,Center Attacking Midfield,382,MID,0.6858486212098588,1.2034417013222456,62.434554973821996,0.4300940207936097,0.5699059792063903,88.88888888888889,86.80555555555556,93.05555555555556,72.91666666666666
Kieran Trippier,England,3.6828018591854885,6.415102848613416,2.7323009894279275,0.01580074593254536,406,165,0.4064039408866995,Left Back,498,FB,0.6655666010576184,1.1593559364964006,73.37349397590361,0.4259169422386575,0.5740830577613425,94.64285714285714,94.64285714285714,80.35714285714286,57.14285714285714
Christian Dannemann Eriksen,Denmark,2.5967690214777654,4.380362722990059,1.7835937015122934,0.01802618404522658,243,95,0.39094650205761317,Left Attacking Midfield,353,MID,0.6620657561841329,1.116806359969137,61.95467422096318,0.40717945391855653,0.5928205460814435,88.19444444444444,81.94444444444444,90.27777777777779,82.63888888888889
Bryan Cristante,Italy,1.0148739074594526,1.790992679362083,0.7761187719026303,0.013568126358803658,132,51,0.38636363636363635,Left Center Midfield,140,MID,0.6524189405096481,1.1513524367327677,84.85714285714286,0.4333455858563693,0.5666544141436307,87.5,84.72222222222221,54.861111111111114,70.13888888888889
Phil Foden,England,4.431978110894666,8.212928880910207,3.7809507700155405,0.017437216307664982,471,201,0.4267515923566879,Left Wing,620,WIDE,0.6433516612589031,1.1921993536805138,68.37096774193549,0.4603657020339999,0.539634297966,96.55172413793103,96.55172413793103,41.37931034482759,24.137931034482758
Youri Tielemans,Belgium,1.097289492369655,2.1231290747510676,1.0258395823814126,0.01549729251643115,137,62,0.45255474452554745,Right Defensive Midfield,154,MID,0.6412730799562919,1.2407897190103643,80.06493506493507,0.48317344177564436,0.5168265582243556,86.80555555555556,88.19444444444444,72.22222222222221,35.41666666666667
N'Golo Kanté,France,3.666613837988954,6.505748234396626,2.8391343964076725,0.016512051356336616,394,164,0.41624365482233505,Right Center Midfield,519,MID,0.6358289892466394,1.1281644337103975,68.32369942196532,0.4364039760095308,0.5635960239904692,86.11111111111111,82.63888888888889,80.55555555555556,68.75
Hakan Çalhanoğlu,Turkey,2.541585271689794,4.612650046795813,2.0710647751060187,0.01563610185354513,295,133,0.45084745762711864,Right Defensive Midfield,361,MID,0.6336362173187853,1.1499681557108674,73.54570637119113,0.4489967272814655,0.5510032727185346,85.41666666666666,84.02777777777779,73.61111111111111,56.25
Luka Sučić,Croatia,1.040713772672835,1.9203057307023308,0.879591958029496,0.018643744958275057,103,43,0.4174757281553398,Center Attacking Midfield,148,MID,0.6328664833821294,1.1677534848865525,62.63513513513514,0.45804787433915267,0.5419521256608473,84.72222222222221,85.41666666666666,91.66666666666666,47.91666666666667
Granit Xhaka,Switzerland,3.414919258160567,6.815502788572918,3.4005835304123506,0.014594224386665777,467,218,0.4668094218415418,Left Defensive Midfield,489,MID,0.6285127469007179,1.2543870163017639,85.95092024539878,0.49894830005995655,0.5010516999400434,84.02777777777779,88.88888888888889,68.05555555555556,22.22222222222222
Vitor Machado Ferreira,Portugal,2.462460747868368,5.245652974132693,2.783192226264325,0.01490242322196788,352,172,0.48863636363636365,Right Defensive Midfield,353,MID,0.6278228535641732,1.3374186053029529,89.74504249291785,0.5305711681631957,0.4694288318368043,83.33333333333334,93.05555555555556,69.44444444444444,9.722222222222223
Florian Grillitsch,Austria,1.358653639842158,2.737689442326918,1.37903580248476,0.016009879779689578,171,79,0.4619883040935672,Left Defensive Midfield,196,MID,0.6238715693152767,1.2571022949460338,78.5204081632653,0.5037225118246572,0.4962774881753428,82.63888888888889,89.58333333333334,76.38888888888889,20.13888888888889
Jamal Musiala,Germany,2.9313947224945545,4.63724189309284,1.705847170598286,0.019005089725790326,244,87,0.35655737704918034,Right Wing,423,WIDE,0.6237010047860754,0.9866472112963489,51.914893617021285,0.3678581385066716,0.6321418614933284,93.10344827586206,93.10344827586206,68.96551724137932,86.20689655172413
Antonio Rüdiger,Germany,3.360025535235839,5.76711140645687,2.4070858712210312,0.012759096031984225,452,178,0.3938053097345133,Right Center Back,488,MID,0.6196768405148064,1.063606611846554,83.36065573770492,0.41738154538267686,0.5826184546173232,81.94444444444444,79.16666666666666,46.52777777777778,77.77777777777779
Jonas Older Wind,Denmark,1.3168898191071274,2.116556502346284,0.7996666832391564,0.017936919511409185,118,40,0.3389830508474576,Center Attacking Midfield,197,MID,0.6016247904550328,0.9669547472647998,53.90862944162437,0.37781494722805425,0.6221850527719457,81.25,73.61111111111111,89.58333333333334,95.13888888888889
Kylian Mbappé Lottin,France,3.129855351179988,5.490923686442248,2.361068335262261,0.025778984443390836,213,84,0.39436619718309857,Center Forward,469,FW,0.6006119010793154,1.053695376929216,40.87420042643923,0.42999474589166536,0.5700052541083347,100.0,100.0,91.17647058823529,55.88235294117647
Aurélien Djani Tchouaméni,France,3.158343955800558,6.283567890438184,3.1252239346376256,0.014378873891162892,437,208,0.4759725400457666,Center Defensive Midfield,476,MID,0.5971658739959038,1.1880695591164634,82.62605042016807,0.4973645529307217,0.5026354470692783,80.55555555555556,86.11111111111111,65.27777777777779,23.61111111111111
Riccardo Calafiori,Italy,1.8280318349419158,3.0123987820809286,1.1843669471390128,0.01214676928258439,248,89,0.3588709677419355,Left Center Back,277,MID,0.5939453615334744,0.9787577270299046,80.57761732851985,0.39316406386304087,0.6068359361369591,79.86111111111111,75.69444444444444,38.19444444444444,89.58333333333334
