match,match_id,n_sampled,backward_n,backward_acc,backward_conf_share,backward_acc_conf,bracket_n,bracket_acc,bracket_conf_share,bracket_acc_conf
Portugal vs Czech Republic,3930166,40,28,0.07142857142857142,0.07142857142857142,1.0,36,0.6388888888888888,0.3888888888888889,1.0
Hungary vs Switzerland,3930159,40,30,0.16666666666666666,0.23333333333333334,0.5714285714285714,38,0.7631578947368421,0.5263157894736842,0.95
Serbia vs England,3930163,40,27,0.18518518518518517,0.2222222222222222,0.8333333333333334,37,0.7837837837837838,0.5405405405405406,1.0
England vs Slovenia,3930181,40,35,0.17142857142857143,0.14285714285714285,1.0,40,0.725,0.525,1.0
Croatia vs Italy,3930178,40,29,0.1724137931034483,0.13793103448275862,1.0,38,0.8157894736842105,0.4473684210526316,1.0
Spain vs Croatia,3930160,40,32,0.15625,0.125,0.75,36,0.6111111111111112,0.3888888888888889,0.9285714285714286
Slovenia vs Serbia,3930170,40,31,0.03225806451612903,0.03225806451612903,1.0,37,0.5945945945945946,0.3783783783783784,1.0
France vs Poland,3938643,40,33,0.21212121212121213,0.21212121212121213,1.0,38,0.7631578947368421,0.631578947368421,1.0
Poland vs Austria,3938641,40,30,0.1,0.2,0.5,38,0.6842105263157895,0.5789473684210527,0.8181818181818182
Georgia vs Czech Republic,3938642,40,27,0.2222222222222222,0.18518518518518517,0.8,33,0.5757575757575758,0.36363636363636365,0.8333333333333334
Turkey vs Georgia,3938639,40,35,0.14285714285714285,0.2,0.7142857142857143,40,0.675,0.45,0.9444444444444444
Romania vs Ukraine,3938638,40,27,0.2222222222222222,0.2222222222222222,0.6666666666666666,37,0.7297297297297297,0.5675675675675675,0.9047619047619048
Slovakia vs Ukraine,3938640,40,33,0.12121212121212122,0.12121212121212122,1.0,39,0.8205128205128205,0.5128205128205128,0.95
Poland vs Netherlands,3938637,40,32,0.15625,0.15625,0.4,36,0.7777777777777778,0.6388888888888888,0.9565217391304348
Georgia vs Portugal,3938644,40,32,0.15625,0.21875,0.7142857142857143,36,0.6944444444444444,0.5833333333333334,0.9523809523809523
France vs Belgium,3941019,40,34,0.14705882352941177,0.11764705882352941,1.0,39,0.7692307692307693,0.6410256410256411,0.96
England vs Switzerland,3942227,40,34,0.17647058823529413,0.23529411764705882,0.5,39,0.717948717948718,0.6410256410256411,0.88
Turkey vs Portugal,3930174,40,33,0.15151515151515152,0.09090909090909091,0.6666666666666666,38,0.8157894736842105,0.5789473684210527,1.0
Slovenia vs Denmark,3930162,40,30,0.2,0.16666666666666666,0.8,38,0.6842105263157895,0.5263157894736842,0.9
Switzerland vs Germany,3930176,40,30,0.1,0.13333333333333333,0.25,40,0.775,0.575,0.9130434782608695
Scotland vs Switzerland,3930169,40,29,0.2413793103448276,0.27586206896551724,0.75,34,0.8235294117647058,0.6470588235294118,0.9545454545454546
Netherlands vs England,3942819,40,34,0.14705882352941177,0.11764705882352941,1.0,38,0.6842105263157895,0.47368421052631576,1.0
Spain vs England,3943043,40,28,0.14285714285714285,0.17857142857142858,0.4,35,0.7142857142857143,0.5428571428571428,0.8947368421052632
Spain vs France,3942752,40,30,0.1,0.1,0.3333333333333333,36,0.6388888888888888,0.3611111111111111,0.8461538461538461
Netherlands vs Turkey,3942382,40,30,0.1,0.2,0.3333333333333333,38,0.6842105263157895,0.5789473684210527,0.8636363636363636
Portugal vs France,3942349,40,31,0.22580645161290322,0.16129032258064516,0.8,38,0.7894736842105263,0.5789473684210527,1.0
Netherlands vs Austria,3930180,40,29,0.10344827586206896,0.13793103448275862,0.5,36,0.6944444444444444,0.6111111111111112,0.9090909090909091
Denmark vs England,3930171,40,29,0.1724137931034483,0.1724137931034483,1.0,36,0.7222222222222222,0.6111111111111112,0.9090909090909091
