player,team,primary_role,macro_role,minutes_played,coverage_pct,pressure_resistance_n,gravity_composite_pct,gravity_directional_m,idx__PROGRESSION,idx__DANGEROUSNESS,idx__RECEPTION,idx__GRAVITY,pct__lb_geom_per90,pct__lb_quality_per90,pct__lb_epv_per90,pct__successful_hull_penetrations_per90,pct__defenders_bypassed_mean,pct__epv_added_per90,pct__epv_penetration_per90,pct__epv_inside_circ_per90,pct__between_lines_pct,pct__successful_hull_exits_per90,pct__pressure_resistance_pct,pct__gravity_proximity_pct,pct__gravity_hull_pct,pct__gravity_abs_m
Pedro González López,Spain,Center Attacking Midfield,CAM,185,94.56521739130434,10,7.903222153563637,4.379801535497616,80.0,66.67,97.5,60.0,100.0,100.0,100.0,30.0,70.0,35.0,65.0,100.0,100.0,100.0,92.5,95.0,10.0,75.0
Christoph Baumgartner,Austria,Center Attacking Midfield,CAM,301,90.74074074074076,10,10.479439492212473,5.187695001622143,49.0,81.67,73.33,78.33,70.0,40.0,40.0,10.0,85.0,85.0,70.0,90.0,90.0,50.0,80.0,80.0,60.0,95.0
Daniel Olmo Carvajal,Spain,Center Attacking Midfield,CAM,432,92.43243243243244,13,5.792314114004642,3.1795822864212835,61.0,73.33,68.33,48.33,65.0,70.0,55.0,40.0,75.0,75.0,80.0,65.0,75.0,90.0,40.0,70.0,25.0,50.0
Georgiy Sudakov,Ukraine,Center Attacking Midfield,CAM,262,92.43697478991596,5,9.802525731164652,3.2658936080181307,67.0,58.33,55.0,66.67,60.0,95.0,85.0,50.0,45.0,40.0,55.0,80.0,40.0,60.0,65.0,75.0,70.0,55.0
Kevin De Bruyne,Belgium,Center Attacking Midfield,CAM,375,91.2280701754386,9,9.021731534514734,2.741695751142975,80.0,60.0,53.33,53.33,85.0,90.0,90.0,70.0,65.0,70.0,35.0,75.0,35.0,80.0,45.0,40.0,90.0,30.0
Fabian Rieder,Switzerland,Right Attacking Midfield,CAM,225,92.13483146067416,3,5.3270579975133865,5.33223094114206,34.0,76.67,62.5,68.33,10.0,30.0,60.0,20.0,50.0,95.0,85.0,50.0,50.0,45.0,92.5,20.0,85.0,100.0
Christian Dannemann Eriksen,Denmark,Left Attacking Midfield,CAM,353,87.78280542986425,8,5.305500657609769,2.8491044642498142,54.0,66.67,80.0,36.67,40.0,55.0,80.0,55.0,40.0,55.0,75.0,70.0,70.0,95.0,75.0,30.0,45.0,35.0
Roland Sallai,Hungary,Left Attacking Midfield,CAM,283,93.75,8,10.658207563350976,3.528697280184596,59.0,70.0,27.5,71.67,55.0,50.0,20.0,80.0,90.0,90.0,90.0,30.0,15.0,15.0,52.5,85.0,65.0,65.0
Orkun Kökçü,Turkey,Center Attacking Midfield,CAM,231,85.48387096774194,5,7.477497581706566,4.420355234588811,65.0,33.33,61.67,66.67,95.0,85.0,70.0,60.0,15.0,15.0,25.0,60.0,55.0,65.0,65.0,45.0,75.0,80.0
Jude Bellingham,England,Center Attacking Midfield,CAM,668,88.50267379679144,26,7.971560669206577,2.312960042690576,69.0,58.33,45.0,46.67,90.0,80.0,65.0,100.0,10.0,45.0,45.0,85.0,25.0,75.0,35.0,65.0,55.0,20.0
Jonas Older Wind,Denmark,Center Attacking Midfield,CAM,197,97.4025974025974,6,4.64109467352416,3.900301371291573,41.0,41.67,77.5,46.67,45.0,45.0,25.0,65.0,25.0,20.0,10.0,95.0,85.0,55.0,92.5,55.0,15.0,70.0
John McGinn,Scotland,Left Center Forward,CAM,228,88.63636363636364,2,3.037245462107601,4.988099499979909,39.0,33.33,65.83,60.0,25.0,25.0,15.0,35.0,95.0,50.0,30.0,20.0,80.0,25.0,92.5,90.0,5.0,85.0
Antoine Griezmann,France,Center Attacking Midfield,CAM,405,89.84771573604061,10,3.7036512874393583,2.599727951789557,73.0,38.33,50.0,30.0,80.0,60.0,75.0,90.0,60.0,60.0,40.0,15.0,60.0,70.0,20.0,15.0,50.0,25.0
Dominik Szoboszlai,Hungary,Right Attacking Midfield,CAM,285,83.97435897435898,4,3.847674167721882,0.1719108942024771,63.0,73.33,20.0,35.0,75.0,75.0,35.0,75.0,55.0,80.0,95.0,45.0,20.0,20.0,20.0,5.0,95.0,5.0
Dušan Tadić,Serbia,Center Attacking Midfield,CAM,160,86.36363636363636,3,6.822038060032662,1.0253437038353503,74.0,58.33,14.17,41.67,35.0,65.0,95.0,95.0,80.0,100.0,50.0,25.0,5.0,30.0,7.5,35.0,80.0,10.0
İlkay Gündoğan,Germany,Center Attacking Midfield,CAM,382,93.45238095238096,7,5.378620875694873,3.0173062181888235,35.0,48.33,60.0,41.67,50.0,35.0,45.0,25.0,20.0,30.0,60.0,55.0,65.0,85.0,30.0,60.0,20.0,45.0
Scott McTominay,Scotland,Center Attacking Midfield,CAM,275,91.66666666666666,5,14.162563170304924,3.472823842362327,14.0,18.33,65.0,70.0,5.0,10.0,10.0,15.0,30.0,5.0,15.0,35.0,95.0,35.0,65.0,50.0,100.0,60.0
Dušan Vlahović,Serbia,Left Attacking Midfield,CAM,179,90.0,4,13.544539548944089,5.046768554867113,30.0,8.33,23.33,73.33,30.0,10.0,5.0,5.0,100.0,10.0,5.0,10.0,45.0,5.0,20.0,100.0,30.0,90.0
