competition_id,team_season,source_team_id,source_team_name,player_id,player_name,short_name,display_name,date_of_birth,age,place_of_birth,nationality,gender,height_m,preferred_foot,position_group,position,first_side_position,2024_club_id,market_value_before_euros,market_value_before_euros_date,market_value_after_euros,market_value_after_euros_date,contract_until,consultant_agency,truth_player_id,truth_player_name,truth_team_name,truth_team_id,match_score,match_rule
EURO,2024,3376,Italy,102017,Jorginho,Jorginho,Jorge Luiz Frello Filho,1991-12-20,32,Imbituba,,male,1.8,right,Midfielder,Defensive Midfield,Central Midfield,11,"€12,00M",2024-05-27,"€10,00M",2024-12-16,2028-06-30T00:00:00+02:00,Brezilya Agency,7024,Jorge Luiz Frello Filho,Italy,3376,1.000,exact
EURO,2024,3383,Austria,106987,Marcel Sabitzer,M. Sabitzer,,1994-03-17,30,Wels,,male,1.78,right,Midfielder,Central Midfield,Attacking Midfield,16,€20.00M,2024-05-29,€15.00M,2024-12-20,2027-06-30T00:00:00+02:00,ROGON,8518,Marcel Sabitzer,Austria,3383,1.000,exact
EURO,2024,3503,Slovakia,108416,Ivan Schranz,I. Schranz,,1993-09-13,30,Bratislava,,male,1.85,right,Striker,Right Winger,Centre-Forward,62,€2.00M,2024-06-05,€3.00M,2024-07-18,2027-12-31T00:00:00+01:00,AMG,28032,Ivan Schranz,Slovakia,3503,1.000,exact
EURO,2024,3468,Hungary,108669,Attila Fiola,A. Fiola,,1990-02-17,34,Szekszárd,,male,1.83,right,Defender,Right-Back,Centre-Back,11107,€400.00K,2024-05-23,€400.00K,2024-12-23,2026-06-30T00:00:00+02:00,,11268,Attila Fiola,Hungary,3468,1.000,exact
EURO,2024,3382,Belgium,108880,Koen Casteels,K. Casteels,,1992-06-25,31,Bonheiden,,male,1.97,left,Goalkeeper,Goalkeeper,,82,"€6,00M",2024-05-29,"€5,00M",2024-12-13,2027-06-30T00:00:00+02:00,,8240,Koen Casteels,Belgium,3382,1.000,exact
EURO,2024,3379,Netherlands,111196,Stefan de Vrij,S. de Vrij,,1992-02-05,32,Ouderkerk aan den IJssel,,male,1.89,right,Defender,Centre-Back,,46,"€7,00M",2024-06-05,"€7,00M",2024-12-18,2026-06-30T00:00:00+02:00,P&P Sport Management S.A.M.,7787,Stefan de Vrij,Netherlands,3379,1.000,exact
EURO,2024,3384,Switzerland,111455,Granit Xhaka,G. Xhaka,,1992-09-27,31,Basel,,male,1.86,left,Midfielder,Defensive Midfield,Central Midfield,15,"€20,00M",2024-05-29,"€17,00M",2024-12-20,2028-06-30T00:00:00+02:00,Signature - ISCM AG,3500,Granit Xhaka,Switzerland,3384,1.000,exact
EURO,2024,3381,Turkiye,119031,Kaan Ayhan,Kaan Ayhan,,1994-11-10,29,Gelsenkirchen,,male,1.85,right,Midfielder,Defensive Midfield,Centre-Back,141,€4.70M,2024-05-31,€4.80M,2024-10-04,2028-06-30T00:00:00+02:00,EMG Mundial Sports Media GmbH,12293,Kaan Ayhan,Turkey,3381,1.000,exact
EURO,2024,3262,Germany,119296,Emre Can,Emre Can,,1994-01-12,30,Frankfurt am Main,,male,1.86,right,Defender,Centre-Back,Defensive Midfield,16,€10.00M,2024-05-29,€7.00M,2024-12-20,2027-06-30T00:00:00+02:00,ISM International Soccer Management Holding GmbH & Co. KG,3493,Emre Can,Germany,3262,1.000,exact
EURO,2024,3383,Austria,120205,Michael Gregoritsch,M. Gregoritsch,,1994-04-18,30,Graz,,male,1.93,left,Striker,Centre-Forward,Second Striker,60,"€8,00M",2024-05-29,"€6,00M",2024-12-20,2026-06-30T00:00:00+02:00,YOU FIRST,8309,Michael Gregoritsch,Austria,3383,1.000,exact
EURO,2024,3380,Scotland,120977,Callum McGregor,C. McGregor,,1993-06-14,31,Glasgow,Callum William McGregor,male,1.78,left,Midfielder,Defensive Midfield,Central Midfield,371,€8.50M,2024-05-30,€7.50M,2024-12-03,2028-05-31T00:00:00+02:00,,10534,Callum McGregor,Scotland,3380,1.000,exact
EURO,2024,3380,Scotland,121385,Grant Hanley,G. Hanley,,1991-11-20,32,Dumfries,Grant Campbell Hanley,male,1.88,right,Defender,Centre-Back,,1123,€900.00K,2024-05-24,€700.00K,2024-12-30,2027-05-31T00:00:00+02:00,PLG,9481,Grant Campbell Hanley,Scotland,3380,1.000,exact
EURO,2024,3588,Slovenia,121483,Jan Oblak,Jan Oblak,,1993-01-07,31,Škofja Loka,,male,1.88,right,Goalkeeper,Goalkeeper,,13,"€28,00M",2024-06-07,"€25,00M",2024-12-27,2028-06-30T00:00:00+02:00,Miha Mlakar,6378,Jan Oblak,Slovenia,3588,1.000,exact
EURO,2024,3377,France,125781,Antoine Griezmann,A. Griezmann,,1991-03-21,33,Mâcon,Antoine Griezmann,male,1.76,left,Striker,Second Striker,Centre-Forward,13,€25.00M,2024-06-07,€22.00M,2024-12-27,2027-06-30T00:00:00+02:00,By and For Sport Management,5487,Antoine Griezmann,France,3377,1.000,exact
EURO,2024,3381,Turkiye,126414,Hakan Çalhanoğlu,H. Çalhanoğlu,,1994-02-08,30,Mannheim,Hakan Çalhanoğlu,male,1.78,right,Midfielder,Defensive Midfield,Central Midfield,46,"€45,00M",2024-06-05,"€40,00M",2024-12-18,2027-06-30T00:00:00+02:00,Unique Sports Group,7039,Hakan Çalhanoğlu,Turkey,3381,1.000,exact
EURO,2024,3383,Austria,127573,Phillipp Mwene,P. Mwene,,1994-01-29,30,Wien,,male,1.7,right,Defender,Left-Back,Right-Back,39,€1.80M,2024-05-29,€1.80M,2024-12-20,None,peak sportsconsulting GmbH,13315,Philipp Mwene,Austria,3383,0.963,fuzzy
EURO,2024,3375,Spain,128223,Álvaro Morata,Á. Morata,,1992-10-23,31,Madrid,Álvaro Borja Morata Martín,male,1.89,right,Striker,Centre-Forward,Left Winger,13,€16.00M,2024-06-07,€13.00M,2024-12-18,2026-06-30T00:00:00+02:00,Niagara Sports Company,3477,Álvaro Borja Morata Martín,Spain,3375,1.000,exact
EURO,2024,3299,England,130164,Jordan Pickford,J. Pickford,,1994-03-07,30,Washington,Jordan Lee Pickford,male,1.85,left,Goalkeeper,Goalkeeper,,29,€22.00M,2024-05-27,€20.00M,2024-12-16,2029-06-30T00:00:00+02:00,CAA Stellar,3468,Jordan Pickford,England,3299,1.000,exact
EURO,2024,3299,England,132098,Harry Kane,Harry Kane,,1993-07-28,30,London,Harry Edward Kane,male,1.88,right,Striker,Centre-Forward,Second Striker,27,€100.00M,2024-05-29,€90.00M,2024-12-20,2027-06-30T00:00:00+02:00,CK66 Limited,10955,Harry Kane,England,3299,1.000,exact
EURO,2024,3384,Switzerland,135343,Fabian Schär,F. Schär,,1991-12-20,32,Wil,Fabian Lukas Schär,male,1.86,right,Defender,Centre-Back,,762,€10.00M,2024-05-27,€9.00M,2024-12-16,2026-06-30T00:00:00+02:00,Sports360 GmbH,5537,Fabian Lukas Schär,Switzerland,3384,1.000,exact
EURO,2024,3375,Spain,138927,Daniel Carvajal,D. Carvajal,,1992-01-11,32,Leganés,Daniel Carvajal Ramos,male,1.73,right,Defender,Right-Back,,418,"€12,00M",2024-06-07,"€10,00M",2024-12-27,2026-06-30T00:00:00+02:00,Be Loyal by Ginés Carvajal,5721,Daniel Carvajal Ramos,Spain,3375,1.000,exact
EURO,2024,3379,Netherlands,139208,Virgil van Dijk,V. van Dijk,,1991-07-08,32,Breda,,male,1.95,right,Defender,Centre-Back,,31,"€30,00M",2024-05-27,"€28,00M",2024-12-16,2027-06-30T00:00:00+02:00,ROOF,3669,Virgil van Dijk,Netherlands,3379,1.000,exact
EURO,2024,3382,Belgium,140776,Yannick Carrasco,Y. Carrasco,,1993-09-04,30,Ixelles,Yannick Ferreira Carrasco,male,1.81,right,Striker,Left Winger,Left Midfield,9840,€14.00M,2024-06-04,€8.00M,2024-12-13,2027-06-30T00:00:00+02:00,Gol International,5633,Yannick Ferreira Carrasco,Belgium,3382,1.000,exact
EURO,2024,3300,Portugal,141050,Danilo Pereira,D. Pereira,,1991-09-09,32,Bissau,Danilo Luís Hélio Pereira,male,1.88,right,Defender,Centre-Back,Defensive Midfield,583,"€8,00M",2024-06-03,"€5,00M",2024-12-13,2027-06-30T00:00:00+02:00,Gestifute,13621,Danilo Luís Hélio Pereira,Portugal,3300,1.000,exact
EURO,2024,3300,Portugal,14132,Pepe,Pepe,Képler Laveran Lima Ferreira,1983-02-26,41,Maceió,,male,1.87,right,Defender,Centre-Back,Defensive Midfield,720,"€500,00K",2024-06-06,"€0,00",2024-08-08,None,Gestifute,20016,Kléper Laveran Lima Ferreira,Portugal,3300,0.964,fuzzy
EURO,2024,3382,Belgium,144028,Leandro Trossard,L. Trossard,,1994-12-04,29,Waterschei,,male,1.72,right,Striker,Left Winger,Second Striker,11,€35.00M,2024-05-27,€30.00M,2024-12-16,2027-06-30T00:00:00+02:00,Fokus - by DHSE and Cracksman,16559,Leandro Trossard,Belgium,3382,1.000,exact
EURO,2024,3384,Switzerland,148252,Remo Freuler,R. Freuler,,1992-04-15,32,Ennenda,Remo Marco Freuler,male,1.8,right,Midfielder,Central Midfield,Attacking Midfield,1025,"€6,50M",2024-06-05,"€6,50M",2024-12-18,2026-06-30T00:00:00+02:00,ESHA Sportmarketing GmbH,6983,Remo Freuler,Switzerland,3384,1.000,exact
EURO,2024,3447,Romania,148372,Nicolae Stanciu,N. Stanciu,,1993-05-07,31,Craiva,Nicolae Claudiu Stanciu,male,1.7,right,Midfielder,Attacking Midfield,Central Midfield,50532,"€4,50M",2024-06-04,"€4,00M",2024-12-13,2027-06-30T00:00:00+02:00,Impress Management Group,10916,Nicolae Claudiu Stanciu,Romania,3447,1.000,exact
EURO,2024,3468,Hungary,148810,Endre Botka,Endre Botka,,1994-08-25,29,Budapest,,male,1.78,right,Defender,Right-Back,Left-Back,279,€1.00M,2024-05-23,€800.00K,2024-12-23,2026-06-30T00:00:00+02:00,ANB Sport Agency Kft,31887,Endre Botka,Hungary,3468,1.000,exact
EURO,2024,3556,Croatia,156617,Marcelo Brozović,M. Brozović,,1992-11-16,31,Zagreb,,male,1.81,both,Midfielder,Defensive Midfield,Attacking Midfield,18544,"€16,00M",2024-06-04,"€12,00M",2024-12-13,2026-06-30T00:00:00+02:00,Epic Team,5469,Marcelo Brozović,Croatia,3556,1.000,exact
EURO,2024,3669,Georgia,156662,Giorgi Gvelesiani,G. Gvelesiani,,1991-05-05,33,Tiflis,გიორგი გველესიანი,male,1.93,right,Defender,Centre-Back,Defensive Midfield,6079,€400.00K,2024-06-05,€375.00K,2024-12-23,2026-06-30T00:00:00+02:00,Free Football,398886,Giorgi Gvelesiani,Georgia,3669,1.000,exact
EURO,2024,3669,Georgia,157391,Solomon Kvirkvelia,S. Kvirkvelia,,1992-02-06,32,Samtredia,სოლომონ კვირკველია,male,1.96,right,Defender,Centre-Back,,71665,€700.00K,2024-06-04,€500.00K,2024-09-25,2027-12-31T00:00:00+01:00,,16005,Solomon Kverkvelia,Georgia,3669,0.944,fuzzy
EURO,2024,3445,Czechia,157672,Vladimír Coufal,V. Coufal,,1992-08-22,31,Ostrava,,male,1.74,right,Defender,Right-Back,Right Midfield,379,€8.00M,2024-05-27,€7.00M,2024-12-16,2028-06-30T00:00:00+02:00,K2K Sports Entertainment Group s.r.o.,16570,Vladimír Coufal,Czech Republic,3445,1.000,exact
EURO,2024,3262,Germany,159088,Robert Andrich,R. Andrich,,1994-09-22,29,Potsdam,,male,1.87,right,Midfielder,Defensive Midfield,Central Midfield,15,€17.00M,2024-05-29,€15.00M,2024-12-20,2028-06-30T00:00:00+02:00,teamplayer Sportmanagement GbR,9195,Robert Andrich,Germany,3262,1.000,exact
EURO,2024,3561,Albania,159288,Arlind Ajeti,A. Ajeti,,1993-09-25,30,Basel,Arlind Afrim Ajeti,male,1.84,right,Defender,Centre-Back,Right-Back,7769,"€1,00M",2024-06-05,"€900,00K",2024-10-04,2027-06-30T00:00:00+02:00,FK Sport Management SRL,8291,Arlind Afrim Ajeti,Albania,3561,1.000,exact
