competition_id,team_season,source_team_id,source_team_name,player_id,player_name,short_name,display_name,date_of_birth,age,place_of_birth,nationality,gender,height_m,preferred_foot,position_group,position,first_side_position,2024_club_id,market_value_before_euros,market_value_before_euros_date,market_value_after_euros,market_value_after_euros_date,contract_until,consultant_agency,profile_relative_url,profile_url,portrait_url
EURO,2024,3382,Belgium,100986,Thomas Meunier,T. Meunier,,1991-09-12,32,Bastogne,Thomas André A. Meunier,male,1.91,right,Defender,Right-Back,Right Midfield,449,"€2,50M",2024-05-31,"€2,00M",2024-12-10,2026-06-30T00:00:00+02:00,Unique Sports Group,/thomas-meunier/profil/spieler/100986,https://www.transfermarkt.com/thomas-meunier/profil/spieler/100986,https://img.a.transfermarkt.technology/portrait/big/100986-1741073106.jpg
EURO,2024,3382,Belgium,1019174,Matte Smets,Matte Smets,,2004-01-04,20,Bilzen,,male,1.85,right,Defender,Centre-Back,Defensive Midfield,475,"€5,00M",2024-06-04,"€7,50M",2024-10-02,2028-06-30T00:00:00+02:00,,/matte-smets/profil/spieler/1019174,https://www.transfermarkt.com/matte-smets/profil/spieler/1019174,https://img.a.transfermarkt.technology/portrait/big/1019174-1713346132.png
EURO,2024,3376,Italy,102017,Jorginho,Jorginho,Jorge Luiz Frello Filho,1991-12-20,32,Imbituba,,male,1.8,right,Midfielder,Defensive Midfield,Central Midfield,11,"€12,00M",2024-05-27,"€10,00M",2024-12-16,2028-06-30T00:00:00+02:00,Brezilya Agency,/jorginho/profil/spieler/102017,https://www.transfermarkt.com/jorginho/profil/spieler/102017,https://img.a.transfermarkt.technology/portrait/big/102017-1682590896.jpg
EURO,2024,3381,Turkiye,1043003,Yasin Özcan,Yasin Özcan,,2006-04-20,18,Istanbul,,male,1.85,left,Defender,Centre-Back,Left-Back,10484,€4.50M,2024-05-31,€4.50M,2024-10-04,2027-01-27T00:00:00+01:00,4YOURDREAM,/yasin-oezcan/profil/spieler/1043003,https://www.transfermarkt.com/yasin-oezcan/profil/spieler/1043003,https://img.a.transfermarkt.technology/portrait/big/1043003-1727694653.jpg
EURO,2024,3561,Albania,1059579,Feta Fetai,Feta Fetai,,2005-05-11,19,Skopje,Фета Фетаи,male,1.72,right,Midfielder,Defensive Midfield,Central Midfield,11194,€350.00K,2024-06-04,€450.00K,2024-12-23,2026-06-30T00:00:00+02:00,Meriton Berisha,/feta-fetai/profil/spieler/1059579,https://www.transfermarkt.com/feta-fetai/profil/spieler/1059579,https://img.a.transfermarkt.technology/portrait/big/1059579-1672863877.png
EURO,2024,3383,Austria,106270,Florian Kainz,F. Kainz,,1992-10-24,31,Graz,,male,1.76,both,Midfielder,Attacking Midfield,Left Winger,3,€2.50M,2024-05-29,€2.00M,2024-12-19,2026-06-30T00:00:00+02:00,YOU FIRST,/florian-kainz/profil/spieler/106270,https://www.transfermarkt.com/florian-kainz/profil/spieler/106270,https://img.a.transfermarkt.technology/portrait/big/106270-1721140143.jpg
EURO,2024,3383,Austria,106872,Kevin Stöger,K. Stöger,,1993-08-27,30,Steyr,,male,1.75,left,Midfielder,Attacking Midfield,Central Midfield,80,€5.00M,2024-05-29,€4.50M,2024-12-20,2027-06-30T00:00:00+02:00,Teamgeist Sportmanagement GmbH,/kevin-stoeger/profil/spieler/106872,https://www.transfermarkt.com/kevin-stoeger/profil/spieler/106872,https://img.a.transfermarkt.technology/portrait/big/106872-1722945684.jpg
EURO,2024,3383,Austria,106987,Marcel Sabitzer,M. Sabitzer,,1994-03-17,30,Wels,,male,1.78,right,Midfielder,Central Midfield,Attacking Midfield,16,€20.00M,2024-05-29,€15.00M,2024-12-20,2027-06-30T00:00:00+02:00,ROGON,/marcel-sabitzer/profil/spieler/106987,https://www.transfermarkt.com/marcel-sabitzer/profil/spieler/106987,https://img.a.transfermarkt.technology/portrait/big/106987-1711745992.jpg
EURO,2024,3436,Denmark,107775,Frederik Rönnow,F. Rönnow,,1992-08-04,31,Horsens,Frederik Riis Rønnow,male,1.88,right,Goalkeeper,Goalkeeper,,89,€4.50M,2024-05-29,€4.00M,2024-12-20,None,Boutique Transfers and Management ApS,/frederik-roennow/profil/spieler/107775,https://www.transfermarkt.com/frederik-roennow/profil/spieler/107775,https://img.a.transfermarkt.technology/portrait/big/107775-1692707378.jpg
EURO,2024,3503,Slovakia,108416,Ivan Schranz,I. Schranz,,1993-09-13,30,Bratislava,,male,1.85,right,Striker,Right Winger,Centre-Forward,62,€2.00M,2024-06-05,€3.00M,2024-07-18,2027-12-31T00:00:00+01:00,AMG,/ivan-schranz/profil/spieler/108416,https://www.transfermarkt.com/ivan-schranz/profil/spieler/108416,https://img.a.transfermarkt.technology/portrait/big/108416-1719927663.jpg
