competition_id,team_season,team_id,team_name,fixtures_url,matchday,date,time,home_team_id,home_team_name,home_team_relative_url,away_team_id,away_team_name,away_team_relative_url,system_of_play,coach_name,coach_id,coach_relative_url,attendance,result,result_color,match_report_id,match_report_relative_url,match_report_url
EURO,2024,3262,Germany,https://www.transfermarkt.com/deutschland/spielplan/verein/3262/saison_id/2024/plus/1,Group A,Fri 14/06/2024,9:00 PM,3262,Germany,/deutschland/startseite/verein/3262/saison_id/2024,3380,Scotland,/schottland/startseite/verein/3380/saison_id/2024,4-2-3-1,Julian Nagelsmann,8402,/julian-nagelsmann/profil/trainer/8402,65.052,5:1,green,4235807,/spielbericht/index/spielbericht/4235807,https://www.transfermarkt.com/spielbericht/index/spielbericht/4235807
EURO,2024,3262,Germany,https://www.transfermarkt.com/deutschland/spielplan/verein/3262/saison_id/2024/plus/1,Group A,Wed 19/06/2024,6:00 PM,3262,Germany,/deutschland/startseite/verein/3262/saison_id/2024,3468,Hungary,/ungarn/startseite/verein/3468/saison_id/2024,4-2-3-1,Julian Nagelsmann,8402,/julian-nagelsmann/profil/trainer/8402,54.000,2:0,green,4235819,/spielbericht/index/spielbericht/4235819,https://www.transfermarkt.com/spielbericht/index/spielbericht/4235819
EURO,2024,3262,Germany,https://www.transfermarkt.com/deutschland/spielplan/verein/3262/saison_id/2024/plus/1,Round of 16,Sat 29/06/2024,9:00 PM,3262,Germany,/deutschland/startseite/verein/3262/saison_id/2024,3436,Denmark,/danemark/startseite/verein/3436/saison_id/2024,4-2-3-1,Julian Nagelsmann,8402,/julian-nagelsmann/profil/trainer/8402,61.612,2:0,green,4359329,/spielbericht/index/spielbericht/4359329,https://www.transfermarkt.com/spielbericht/index/spielbericht/4359329
EURO,2024,3299,England,https://www.transfermarkt.com/england/spielplan/verein/3299/saison_id/2024/plus/1,Group C,Tue 25/06/2024,9:00 PM,3299,England,/england/startseite/verein/3299/saison_id/2024,3588,Slovenia,/slowenien/startseite/verein/3588/saison_id/2024,4-3-3 Attacking,Gareth Southgate,3358,/gareth-southgate/profil/trainer/3358,41.536,0:0,,4235836,/spielbericht/index/spielbericht/4235836,https://www.transfermarkt.com/spielbericht/index/spielbericht/4235836
EURO,2024,3299,England,https://www.transfermarkt.com/england/spielplan/verein/3299/saison_id/2024/plus/1,Round of 16,Sun 30/06/2024,6:00 PM,3299,England,/england/startseite/verein/3299/saison_id/2024,3503,Slovakia,/slowakei/startseite/verein/3503/saison_id/2024,4-3-3 Attacking,Gareth Southgate,3358,/gareth-southgate/profil/trainer/3358,47.244,2:1 AET,green,4359331,/spielbericht/index/spielbericht/4359331,https://www.transfermarkt.com/spielbericht/index/spielbericht/4359331
EURO,2024,3299,England,https://www.transfermarkt.com/england/spielplan/verein/3299/saison_id/2024/plus/1,Quarter-Finals,Sat 06/07/2024,6:00 PM,3299,England,/england/startseite/verein/3299/saison_id/2024,3384,Switzerland,/schweiz/startseite/verein/3384/saison_id/2024,3-4-2-1,Gareth Southgate,3358,/gareth-southgate/profil/trainer/3358,46.907,6:4 on pens,green,4359338,/spielbericht/index/spielbericht/4359338,https://www.transfermarkt.com/spielbericht/index/spielbericht/4359338
EURO,2024,3300,Portugal,https://www.transfermarkt.com/portugal/spielplan/verein/3300/saison_id/2024/plus/1,Group F,Tue 18/06/2024,9:00 PM,3300,Portugal,/portugal/startseite/verein/3300/saison_id/2024,3445,Czechia,/tschechien/startseite/verein/3445/saison_id/2024,3-4-3,Roberto Martínez,4328,/roberto-martinez/profil/trainer/4328,38.421,2:1,green,4235818,/spielbericht/index/spielbericht/4235818,https://www.transfermarkt.com/spielbericht/index/spielbericht/4235818
EURO,2024,3300,Portugal,https://www.transfermarkt.com/portugal/spielplan/verein/3300/saison_id/2024/plus/1,Round of 16,Mon 01/07/2024,9:00 PM,3300,Portugal,/portugal/startseite/verein/3300/saison_id/2024,3588,Slovenia,/slowenien/startseite/verein/3588/saison_id/2024,4-2-3-1,Roberto Martínez,4328,/roberto-martinez/profil/trainer/4328,46.576,3:0 on pens,green,4359332,/spielbericht/index/spielbericht/4359332,https://www.transfermarkt.com/spielbericht/index/spielbericht/4359332
EURO,2024,3300,Portugal,https://www.transfermarkt.com/portugal/spielplan/verein/3300/saison_id/2024/plus/1,Quarter-Finals,Fri 05/07/2024,9:00 PM,3300,Portugal,/portugal/startseite/verein/3300/saison_id/2024,3377,France,/frankreich/startseite/verein/3377/saison_id/2024,4-2-3-1,Roberto Martínez,4328,/roberto-martinez/profil/trainer/4328,47.789,3:5 on pens,red,4359337,/spielbericht/index/spielbericht/4359337,https://www.transfermarkt.com/spielbericht/index/spielbericht/4359337
EURO,2024,3375,Spain,https://www.transfermarkt.com/spanien/spielplan/verein/3375/saison_id/2024/plus/1,Group B,Sat 15/06/2024,6:00 PM,3375,Spain,/spanien/startseite/verein/3375/saison_id/2024,3556,Croatia,/kroatien/startseite/verein/3556/saison_id/2024,4-3-3 Attacking,Luis de la Fuente,20031,/luis-de-la-fuente/profil/trainer/20031,68.844,3:0,green,4235809,/spielbericht/index/spielbericht/4235809,https://www.transfermarkt.com/spielbericht/index/spielbericht/4235809
EURO,2024,3375,Spain,https://www.transfermarkt.com/spanien/spielplan/verein/3375/saison_id/2024/plus/1,Group B,Thu 20/06/2024,9:00 PM,3375,Spain,/spanien/startseite/verein/3375/saison_id/2024,3376,Italy,/italien/startseite/verein/3376/saison_id/2024,4-3-3 Attacking,Luis de la Fuente,20031,/luis-de-la-fuente/profil/trainer/20031,49.528,1:0,green,4235822,/spielbericht/index/spielbericht/4235822,https://www.transfermarkt.com/spielbericht/index/spielbericht/4235822
EURO,2024,3375,Spain,https://www.transfermarkt.com/spanien/spielplan/verein/3375/saison_id/2024/plus/1,Round of 16,Sun 30/06/2024,9:00 PM,3375,Spain,/spanien/startseite/verein/3375/saison_id/2024,3669,Georgia,/georgien/startseite/verein/3669/saison_id/2024,4-3-3 Attacking,Luis de la Fuente,20031,/luis-de-la-fuente/profil/trainer/20031,42.233,4:1,green,4359330,/spielbericht/index/spielbericht/4359330,https://www.transfermarkt.com/spielbericht/index/spielbericht/4359330
EURO,2024,3375,Spain,https://www.transfermarkt.com/spanien/spielplan/verein/3375/saison_id/2024/plus/1,Quarter-Finals,Fri 05/07/2024,6:00 PM,3375,Spain,/spanien/startseite/verein/3375/saison_id/2024,3262,Germany,/deutschland/startseite/verein/3262/saison_id/2024,4-3-3 Attacking,Luis de la Fuente,20031,/luis-de-la-fuente/profil/trainer/20031,54.000,2:1 AET,green,4359336,/spielbericht/index/spielbericht/4359336,https://www.transfermarkt.com/spielbericht/index/spielbericht/4359336
EURO,2024,3375,Spain,https://www.transfermarkt.com/spanien/spielplan/verein/3375/saison_id/2024/plus/1,Semi-Finals,Tue 09/07/2024,9:00 PM,3375,Spain,/spanien/startseite/verein/3375/saison_id/2024,3377,France,/frankreich/startseite/verein/3377/saison_id/2024,4-3-3 Attacking,Luis de la Fuente,20031,/luis-de-la-fuente/profil/trainer/20031,62.042,2:1,green,4359340,/spielbericht/index/spielbericht/4359340,https://www.transfermarkt.com/spielbericht/index/spielbericht/4359340
EURO,2024,3375,Spain,https://www.transfermarkt.com/spanien/spielplan/verein/3375/saison_id/2024/plus/1,Final,Sun 14/07/2024,9:00 PM,3375,Spain,/spanien/startseite/verein/3375/saison_id/2024,3299,England,/england/startseite/verein/3299/saison_id/2024,4-3-3 Attacking,Luis de la Fuente,20031,/luis-de-la-fuente/profil/trainer/20031,65.600,2:1,green,4359342,/spielbericht/index/spielbericht/4359342,https://www.transfermarkt.com/spielbericht/index/spielbericht/4359342
EURO,2024,3376,Italy,https://www.transfermarkt.com/italien/spielplan/verein/3376/saison_id/2024/plus/1,Group B,Sat 15/06/2024,9:00 PM,3376,Italy,/italien/startseite/verein/3376/saison_id/2024,3561,Albania,/albanien/startseite/verein/3561/saison_id/2024,4-2-3-1,Luciano Spalletti,517,/luciano-spalletti/profil/trainer/517,60.512,2:1,green,4235810,/spielbericht/index/spielbericht/4235810,https://www.transfermarkt.com/spielbericht/index/spielbericht/4235810
